SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,BYLINE,LANGUAGE,COUNTRY,DATELINE,SP,STATE,JOURNAL-CODE,PUBLICATION-TYPE,LENGTH,LOAD-DATE,SECTION,SUBJECT,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Amyeacute;rica-GDA/O Globo/Brasil. Todos los derechos reservados. Prohibido su uso o reproducciyoacute;n en Brasil å© NoticiasFinancieras - å© GDA- Agencia Globo - All rights reserved Que Copa, hein!  Ancelmo Gois A exemplo do que ocorreu na Ìfrica do Sul em 2010, tem categoria profissional ameaÌ¤ando greve durante a Copa, naturalmente para aproveitar o fato de estar todo o mundo de olho aqui. HÌÁ aeronautas, motoristas de Ì«nibus e atÌ© funcionÌÁrios de museus federais pensando nisso. A conferir. Na Ìfrica do Sul, na vÌ©spera da Copa, houve greve em alguns canteiros de obras dos estÌÁdios, inclusive no grupo Transnet (ferrovias e logÌ_stica). Em 2010 a inflaÌ¤Ì£o anual no paÌ_s africano estava em 5,1%, um pouco menor do que o Ì_ndice brasileiro atual. AtÌ© agora, a Marina da GlÌ_ria, no Rio, jÌÁ recebeu pedidos de donos de 14 iates de luxo (barcos acima de 120 pÌ©s) estrangeiros interessados em usar suas instalaÌ¤Ìµes durante a Copa do Mundo. Para se ter uma ideia: em 2012, o Brasil inteiro recebeu apenas oito dessas supermÌÁquinas marÌ_timas. Em 2013, 16. O querido JosÌ© Wilker, que outro dia participou de debate na Casa do Saber O GLOBO sobre a ditadura, comeÌ¤ou sua carreira de ator em Recife nos anos 60, no Movimento Popular de Cultura, do Partido Comunista. AliÌÁs, quando ele encontrava algum parceiro da Ì©poca, curtia cantarolar a versÌ£o de protesto, feita entÌ£o," para a canÌ¤Ì£o """"Se essa rua fosse minha"""". """"Nessa rua", nessa rua tem um posto/ Que se chama, que se chama Posto Esso/ Dentro dele, dentro dele mora um gringo/ Da AlianÌ¤a," da AlianÌ¤a pro Progresso"""". Saudades. Copyright Grupo de Diarios Amyeacute;rica-GDA/O Globo/Brasil. Todos los derechos reservados. Prohibido su uso o reproducciyoacute;n en Brasil å© NoticiasFinancieras - å© GDA- Agencia Globo - All rights reserved Partido de Erdogan proclama vitÌ_ria na eleiÌ¤Ì£o municipal em Ancara  O candidato do partido do primeiro-ministro Recep Tayyip Erdogan ÌÊ prefeitura de Ancara declarou vitÌ_ria nesta segunda-feira"," apÌ_s uma noite de apuraÌ¤Ì£o e protestos. """"Senhor primeiro-ministro", abriram o caminho. O povo de Ancara e da Turquia seguiram o seu caminho," em 45%. A rua estÌÁ aberta""""", declarou o prefeito Melih GÌ¦kÌ¤ek, em uma entrevista coletiva ao lado do vice-premier Emrullah Isler e do ministro da JustiÌ¤a, Bekir Bozdag. ApÌ_s a apuraÌ¤Ì£o de 99,65% dos votos, GÌ¦kÌ¤ek, do Partido da JustiÌ¤a e do Desenvolvimento (AKP), tem 44,74% contra 43,81% do rival do Partido Republicano do Povo (CHP), Mansur Yavas. Os dois candidatos reivindicaram a vitÌ_ria no domingo, em um ambiente dominado por acusaÌ¤Ìµes de fraude. O partido de Erdogan conquistou uma ampla vitÌ_ria no domingo nas eleiÌ¤Ìµes municipais, com 45,5% dos votos no conjunto do paÌ_s, muito ÌÊ frente do CHP (27,9%), apesar dos escÌ¢ndalos de corrupÌ¤Ì£o que afetam o AKP. O chefe de Governo, que estÌÁ no poder desde 2002," prometeu aos adversÌÁrios que vÌ£o """"pagar o preÌ¤o"""". pa/fp"""
44,AE NoticiÌÁrio,6 Abril 2014,ONU condena violÌ»ncia de refugiados sÌ_rios na JordÌ¢nia,,AE-AP,PORTUGUESE; PORTUGUÌ_S,,,,"AmÌ£, 06",FASTNEWS,Boletim de notÌ_cias,341 palavras,6-Apr-14,INTERNACIONAL,,"A OrganizaÌ¤Ì£o das NaÌ¤Ìµes Unidas (ONU) informou neste domingo que estÌÁ alarmada com a ""natureza violenta"" de uma manifestaÌ¤Ì£o em um grande campo de refugiados sÌ_rios na JordÌ¢nia, que jÌÁ matou uma pessoa e feriu dezenas de outras. O protesto, que comeÌ¤ou ontem no campo de Zaatari, reverberou em toda a regiÌ£o. AgÌ»ncias humanitÌÁrias e autoridades governamentais se esforÌ¤am para administrar os milhares de refugiados sÌ_rios que buscaram abrigo em paÌ_ses vizinhos, como Iraque, JordÌ¢nia, LÌ_bano e Turquia. Em um comunicado, a ONU informou que uma ""manifestaÌ¤Ì£o acalorada"" em Zaatari ficou ""violenta"", depois que milhares de refugiados possivelmente comeÌ¤aram a arremessar pedras contra um posto policial dentro do acampamento. O protesto teve inÌ_cio apÌ_s a polÌ_cia ter detido uma famÌ_lia de refugiados e um motorista que tentava transportÌÁ-la de forma clandestina, esclareceu a agÌ»ncia. Policiais dispararam gÌÁs lacrimogÌ»neo e relatos apontam uso de muniÌ¤Ì£o letal, de acordo com a ONU. TrÌ»s refugiados sÌ_rios foram encaminhados ao hospital para tratar ferimentos a bala e um deles morreu, revelou a agÌ»ncia. Em nota, a ONU disse ainda 28 policiais ficaram feridos durante a manifestaÌ¤Ì£o. Nove tendas e cinco casas mÌ_veis foram queimadas, acrescentou o comunicado. ""EsforÌ¤os tremendos foram feitos nos Ì¼ltimos meses para criar uma atmosfera de civilidade no campo"", declarou a agÌ»ncia da ONU, apelando para que os refugiados respeitem ""a lei jordaniana"". Mais cedo, a polÌ_cia da JordÌ¢nia informou em nota que suas tropas usaram gÌÁs lacrimogÌ»neo para dissipar as multidÌµes que atacaram o posto policial e atearam fogo nas tendas. A JordÌ¢nia registrou a chegada de 588.979 sÌ_rios ao seu territÌ_rio e esse nÌ¼mero cresce diariamente. A maioria dos refugiados estÌÁ distribuÌ_da em dois acampamentos perto da fronteira com a SÌ_ria. Com mais de 120 mil pessoas, Zaatari Ì© o maior dos campos. Os sÌ_rios estÌ£o sob cuidados da ONU e do governo jordaniano, mas ainda hÌÁ um nÌ¼mero nÌ£o determinado de refugiados nÌ£o registrados nos acampamentos. Fonte: Associated Press.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,AE NoticiÌÁrio,3 Abril 2014,Barcelona diz ser vÌ_tima de injustiÌ¤a e descarta mudar,,AE-AP,PORTUGUESE; PORTUGUÌ_S,,,,Barcelona,FASTNEWS,Boletim de notÌ_cias,345 palavras,3-Apr-14,ESPORTES,,"O presidente do Barcelona, Josep Maria Bartomeu, afirmou que nesta quinta-feira que o clube foi ""vitima de uma grave injustiÌ¤a"" depois de ser punido com a proibiÌ¤Ì£o de realizar contrataÌ¤Ìµes pela Fifa e prometeu nÌ£o mudar o seu modelo de recrutamento e formaÌ¤Ì£o de jovens jogadores. Bartomeu disse em entrevista coletiva que o clube nunca quebrou nenhuma lei espanhola ao contratar jovens talentos para a sua famosa academia, La Masia, que produziu jogadores como Lionel Messi, Xavi Hernandez e Andres Iniesta. ""NÌ_s somos vÌ_timas de uma grave injustiÌ¤a. Com esta decisÌ£o, a Fifa estÌÁ penalizando um modelo que tem funcionado por 35 anos, estÌÁ penalizando o clube. O BarÌ¤a Ì© um modelo a se seguir. NÌ£o temos nenhuma intenÌ¤Ì£o de mudar o nosso modelo"", disse. ""VocÌ» nÌ£o pode tocar em La Masia. Este modelo Ì© o que tem permitido que o nosso clube seja o de maior sucesso na Ì¼ltima dÌ©cada"", completou. Bartomeu disse que o clube estava investigando quem fez o protesto inicial sobre um jovem jogador sul-coreano, que levou a Fifa a exigir informaÌ¤Ìµes sobre 33 jovens jogadores desde fevereiro de 2013. O dirigente tambÌ©m questionou a prÌ_pria Fifa e outras equipes, ao insinuar que outros times possuem procedimentos parecidos e nÌ£o foram punidos, alÌ©m de declarar que ""nÌ£o Ì© normal que todas essas coisas acontecem com um clube"", em referÌ»ncia tambÌ©m ao caso da contrataÌ¤Ì£o do atacante brasileiro Neymar, em que o Barcelona Ì© acusado de fraude fiscal. Questionado sobre se o Real Madrid estava por trÌÁs do denÌ¼ncia anÌ«nima ÌÊ Fifa, disse que o Barcelona realiza investigaÌ¤Ì£o para descobrir os envolvidos na acusaÌ¤Ì£o. ""Estamos investigando documentos. Quando tivermos a prova, vamos agir com total de determinaÌ¤Ì£o"". O Barcelona espera que a puniÌ¤Ì£o seja cancelada pela supostas irregularidades encontradas pela Fifa, que o puniu por violar os regulamentos de transferÌ»ncia ao contratar jovens jogadores entre 2009 e 2013. O clube tambÌ©m acredita que as regras precisam ser alteradas. AlÌ©m disso, prometeu acionar outras esferas judiciais caso nÌ£o tenha sucesso no seu recurso na Fifa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,AE NoticiÌÁrio,4 Abril 2014,Tropa do PA se revolta contra reajuste a oficiais da PM,,Carlos Mendes,PORTUGUESE; PORTUGUÌ_S,,,,BelÌ©m,FASTNEWS,Boletim de notÌ_cias,313 palavras,4-Apr-14,POLÌTICA,,"Um protesto organizado por soldados, cabos, sargentos e subtenentes do 6å¼ BatalhÌ£o da PolÌ_cia Militar de Ananindeua, municÌ_pio da regiÌ£o metropolitana de BelÌ©m, paralisou os dois sentidos da rodovia BR-316, provocando um engarrafamento que no comeÌ¤o da noite desta sexta-feira, 4, alcanÌ¤ava 18 quilÌ«metros. Os militares protestam contra o reajuste salarial de 110% concedidos pelo governador SimÌ£o Jatene para tenentes, majores e coronÌ©is, deixando de fora os praÌ¤as, que representam o grosso da tropa. O reajuste foi aprovado na quarta-feira, 2, pela base aliada do governo na Assembleia Legislativa. Enquanto ocorriam atritos entre motoristas e militares no bloqueio armado em frente ao quartel da PM, uma comissÌ£o da AssociaÌ¤Ì£o dos Cabos e Soldados da PolÌ_cia Militar e deputados estaduais estavam reunidos para ouvir as reivindicaÌ¤Ìµes dos manifestantes. Eles querem que lhes seja concedido o mesmo reajuste escalonado de 110% dado aos oficiais. Se isso nÌ£o for feito, eles ameaÌ¤am manter o bloqueio por tempo indeterminado. Segundo representantes dos cabos e sargentos, nÌ£o houve qualquer avanÌ¤o nas negociaÌ¤Ìµes, o que deixou os militares ainda mais irritados. ""O governador deu um tiro no prÌ_prio pÌ© e isso pode custar caro para ele"", declarou ao Estado um sargento, pedindo para nÌ£o ser identificado por temer puniÌ¤Ì£o. Por lei, os militares sÌ£o proibidos de fazer greve ou qualquer tipo de paralisaÌ¤Ì£o. O comandante-geral da PM, coronel Daniel Mendes, esteve reunido com oficiais para avaliar a situaÌ¤Ì£o. A ordem Ì© punir os manifestantes, mas hÌÁ o temor de que uma operaÌ¤Ì£o armada para desmobilizar o movimento possa provocar uma tragÌ©dia. ""Quem estÌÁ nas ruas, combatendo a bandidagem, somos nÌ_s, mas nada estamos ganhando de reajuste. O governo prefere aumentar os salÌÁrios dos que vivem dentro dos gabinetes dando ordens"", desabafou outro militar, visivelmente irritado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AE NoticiÌÁrio,1 Abril 2014,"ApÌ_s protestos, sessÌ£o sobre golpe na CÌ¢mara termina",,Daiene Cardoso e Eduardo Bresciani,PORTUGUESE; PORTUGUÌ_S,,,,BrasÌ_lia,FASTNEWS,Boletim de notÌ_cias,304 palavras,1-Apr-14,POLÌTICA,,"A sessÌ£o solene na CÌ¢mara dos Deputados alusiva aos 50 anos do Golpe Militar foi encerrada nesta terÌ¤a-feira, 1, apÌ_s protestos dos participantes contra o deputado Jair Bolsonaro (PP-RJ). O parlamentar se preparava para fazer seu discurso quando a plateia se virou de costas para a mesa. ""A vitÌ_ria foi impedi-lo de falar"", resumiu a deputada Jandira Feghali (PCdoB-RJ). Bolsonaro teria direito a um pronunciamento na tribuna por tambÌ©m ter proposto o evento. Ao se posicionar para discursar, a plateia se virou de costas em protesto contra o parlamentar, que jÌÁ havia estendido uma faixa na galeria com os dizeres: ""ParabÌ©ns, militares - 31 de MarÌ¤o de 1964. GraÌ¤as a vocÌ»s, o Brasil nÌ£o Ì© Cuba"". A manifestaÌ¤Ì£o de Bolsonaro causou tumulto na sessÌ£o, que chegou a ficar suspensa por alguns minutos. Enquanto observava o protesto da plateia, Bolsonaro reclamou que estava sendo discriminado, mas seguiu com as provocaÌ¤Ìµes. ""Mais importante que eu sÌ_ o que os militares fizeram pela democracia"", afirmou. O presidente da sessÌ£o, deputado Amir Lando (PMDB-RO), chegou a apelar para que os presentes, que nÌ£o queriam ouvir o discurso de Bolsonaro, deixassem o plenÌÁrio e retornassem depois. O peemedebista criticou a postura da plateia por ""desrespeitar"" a mesa e a instituiÌ¤Ì£o. Sem conseguir convencer a plateia, Lando foi instruÌ_do pela Secretaria Geral da Mesa Diretora a encerrar a sessÌ£o, o que deixou outros seis deputados inscritos sem se pronunciar na tribuna. O evento foi marcado por tumulto durante toda a manhÌ£. Antes do inÌ_cio da sessÌ£o, deputados reclamaram do acesso restrito e o evento acabou atrasando. Alguns participantes levaram cartazes em protesto contra e a favor da ditadura. Os defensores dos desaparecidos polÌ_ticos levaram um cartaz com os dizeres: ""A voz que louva a ditadura calou a voz da cidadania"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AE NoticiÌÁrio,31 MarÌ¤o 2014,Grupo faz protesto em frente ÌÊ casa de Ustra em BrasÌ_lia,,Leonencio Nossa,PORTUGUESE; PORTUGUÌ_S,,,,BrasÌ_lia,FASTNEWS,Boletim de notÌ_cias,379 palavras,31-Mar-14,POLÌTICA,,"Um grupo de 150 militantes do Levante Popular, do Movimento dos Pequenos Produtores e da Juventude do MST realizou na tarde desta segunda-feira um ""escracho"" em frente ÌÊ casa do coronel reformado do ExÌ©rcito Carlos Alberto Brilhante Ustra, em um bairro nobre de BrasÌ_lia. Os participantes da manifestaÌ¤Ì£o pregaram cartazes com fotos de pessoas que foram mortas e torturadas nas dependÌ»ncias do temido DOI-CODI, em SÌ£o Paulo, durante o comando de Ustra, nos anos 1970. Reconhecido como ""torturador"" pelo Tribunal de JustiÌ¤a de SÌ£o Paulo, em 2008, Ustra prestou depoimento em maio ÌÊ ComissÌ£o Nacional da Verdade. Na Ì©poca, ele chegou a apresentar um habeas corpus para nÌ£o responder ÌÊs perguntas, mas depois acabou dando um depoimento tortuoso, em meio a ironias e irritaÌ¤Ìµes. Ustra admitiu que tinha o controle total do DOI-CODI no perÌ_odo dos assassinatos e torturas. O coronel disse que nÌ£o era um assassino e apenas cumpria ordens. Uma das coordenadoras do protesto, a estudante BÌÁrbara Loureiro, 24 anos, que faz pÌ_s-graduaÌ¤Ì£o na ÌÁrea de engenharia florestal, afirma que o grupo escolheu uma figura ""emblemÌÁtica"" da ditadura no dia que o PaÌ_s lembra os 50 anos do golpe militar. ""O levante jÌÁ realizou 60 escrachos, mas esse Ì© o primeiro em BrasÌ_lia"", observa. BÌÁrbara diz que o objetivo dos ""escrachos"" nÌ£o Ì© fazer confronto, mas apenas denunciar agentes do regime militar. ""Ìä uma aÌ¤Ì£o rÌÁpida, de denÌ¼ncia"", ressalta. O grupo tambÌ©m procura pressionar a ComissÌ£o Nacional da Verdade, chamando a atenÌ¤Ì£o para nomes que atuaram na rede de violaÌ¤Ìµes de direitos humanos. Os participantes do protesto chegaram ÌÊ casa de Ustra em trÌ»s Ì«nibus. Por meia hora, cantaram mÌ¼sicas do tempo da ditadura, colaram cartazes na vidraÌ¤a de frente da residÌ»ncia e no portÌ£o e escreveram no asfalto que ali morava um torturador. O agente estaria em casa no momento do protesto, mas nÌ£o apareceu. Em 2005, a famÌ_lia das ativistas de direitos humanos Janaina Teles, Maria AmÌ©lia Teles e CrimÌ©ia de Almeida entraram com aÌ¤Ì£o declaratÌ_ria na JustiÌ¤a para acusar Ustra de tortura no DOI-CODI. TrÌ»s anos depois, o Tribunal de JustiÌ¤a aceitou que o agente praticou ilÌ_cito que gerou danos morais. A defesa de Ustra tentou sem sucesso reverter a decisÌ£o inÌ©dita envolvendo um nome da repressÌ£o polÌ_tica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,AE NoticiÌÁrio,31 MarÌ¤o 2014,Dilma mostra apoio ao movimento contra estupro,,Bernardo Caram,PORTUGUESE; PORTUGUÌ_S,,,,BrasÌ_lia,FASTNEWS,Boletim de notÌ_cias,172 palavras,31-Mar-14,GERAL,,"A presidente Dilma Rousseff (PT) demonstrou solidariedade ÌÊ jornalista Nana Queiroz, uma das organizadoras do movimento ""Eu nÌ£o mereÌ¤o ser estuprada"", que se popularizou nas redes sociais nos Ì¼ltimos dias. A organizadora do protesto, alÌ©m de mensagens de apoio, foi hostilizada e ameaÌ¤ada por pessoas na internet. ""Por ter se manifestado nas redes contra a cultura de violÌ»ncia contra a mulher, a jornalista foi ameaÌ¤ada de estupro (...) Organizadora do protesto #NÌ£oMereÌ¤oSerEstuprada, Nana Queiroz merece toda a minha solidariedade e #respeito"", afirmou a presidente por meio de sua conta no Twitter. O movimento surgiu apÌ_s a divulgaÌ¤Ì£o de uma pesquisa do Instituto de Pesquisa EconÌ«mica Aplicada (Ipea), que, entre os dados, constatou que 65% dos brasileiros acham que mulheres que usam roupas curtas merecem ser atacadas. ""Nenhuma mulher merece ser vÌ_tima de violÌ»ncia, seja fÌ_sica ou sob a forma de ameaÌ¤a"", afirmou Dilma. ""O governo e a lei estÌ£o do lado de Nana Queiroz e das mulheres ameaÌ¤adas ou vÌ_timas de violÌ»ncia"", finalizou.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,AE NoticiÌÁrio,31 MarÌ¤o 2014,Dilma diz que nÌ£o quer revisÌ£o da Lei de Anistia,,TÌ¢nia Monteiro,PORTUGUESE; PORTUGUÌ_S,,,,BrasÌ_lia,FASTNEWS,Boletim de notÌ_cias,638 palavras,31-Mar-14,POLÌTICA,,"A presidente Dilma Rousseff nÌ£o apoia a revisÌ£o da Lei de Anistia como desejam grupos de esquerda, a Anistia Internacional, que lanÌ¤a amanhÌ£ uma campanha em prol da alteraÌ¤Ì£o do texto, e alguns senadores. Dilma aproveitou um discurso em cerimÌ«nia nesta segunda-feira no PalÌÁcio do Planalto para apresentar sua posiÌ¤Ì£o, endossando uma decisÌ£o do Supremo Tribunal Federal de 2010, que considerou constitucional a Lei da Anistia que impediu a puniÌ¤Ì£o dos crimes cometidos durante a ditadura (1964-1989). Os militares sÌ£o contra a revisÌ£o da legislaÌ¤Ì£o. ""NÌ_s reconquistamos a democracia ÌÊ nossa maneira, por meio de lutas e de sacrifÌ_cios humanos irreparÌÁveis, mas tambÌ©m por meio de pactos e acordos nacionais, muitos deles traduzidos na ConstituiÌ¤Ì£o de 1988"", afirmou a presidente, defendendo a sua tese. Em seguida, Dilma fez questÌ£o de justificar sua posiÌ¤Ì£o, ressaltando que ""assim como eu respeito e reverencio os que lutaram pela democracia, enfrentando a truculÌ»ncia ilegal do Estado, nunca deixarei de enaltecer esses lutadores e essas lutadoras"". Ela reiterou tambÌ©m que ""reconhece e valoriza os pactos polÌ_ticos que nos levaram ÌÊ redemocratizaÌ¤Ì£o"". Em discurso no dia em que o golpe de 31 de marÌ¤o completa 50 anos, Dilma lembrou que ela mesma foi presa e torturada, citou a dor que todos sofreram, acrescentando que estas dores deixaram ""cicatrizes visÌ_veis e invisÌ_veis"". Para a presidente, essas cicatrizes ""podem ser suportadas e superadas porque hoje temos uma democracia sÌ_lida e podemos contar nossa histÌ_ria"". Dilma explicou ainda que todo o processo de redemocratizaÌ¤Ì£o do Brasil ""foi construÌ_do passo a passo durante cada um dos governos eleitos depois da ditadura"". E fez questÌ£o de justificar que sua posiÌ¤Ì£o nada tem a ver com esquecimento, mas a defesa da verdade. ""A palavra verdade Ì© exatamente o oposto do esquecimento"" e ""Ì© algo tÌ£o forte que nÌ£o dÌÁ guarida para o ressentimento, Ì_dio e nem tampouco para o perdÌ£o. E Ì© sÌ_ e sobretudo o contrÌÁrio do esquecimento. Ìä memÌ_ria e Ì© histÌ_ria"", afirmou Dilma, que defendeu a liberdade de imprensa e a independÌ»ncia do Legislativo e do JudiciÌÁrio. Protestos Ao se referir ÌÊs manifestaÌ¤Ìµes que tomaram conta do PaÌ_s desde junho do ano passado, a presidente Dilma comentou que nÌ£o houve ""abafamento"" dos protestos e salientou que ""aprendemos valor de ir ÌÊs ruas e nÌ_s mostramos um diferencial quando as pessoas foram ÌÊ ruas demandar mais democracia"", ressaltando o ""valor de ir ÌÊs ruas, de ter direitos e de exigir mais direitos"". O ministro da JustiÌ¤a, JosÌ© Eduardo Cardozo, tambÌ©m aproveitou as manifestaÌ¤Ìµes do dia, para lembrar que a ConstituiÌ¤Ì£o exige que o Estado peÌ¤a desculpas e faÌ¤a reparaÌ¤Ì£o a todas as pessoas que tiveram seus direitos, sua integridade e sua dignidade violados nos 21 anos de regime autoritÌÁrio. ""Durante muito tempo os ministros da JustiÌ¤a diziam que nÌ£o tinham nada a declarar e hoje o ministro da JustiÌ¤a dizer, em nome do povo, do Estado brasileiro, que pede desculpas por aquilo que foi feito na Ì©poca da ditadura, pelas mortes, pelas torturas, pelas famÌ_lias que choraram, Ì© algo que mostra um novo tempo, uma nova realidade democrÌÁtica que temos orgulho de termos conquistado"", ressaltou Cardozo. No Senado, tambÌ©m houve manifestaÌ¤Ìµes. Senadores defenderam a revisÌ£o da Lei da Anistia, em uma solenidade esvaziada que nÌ£o contou, sequer, com a presenÌ¤a do presidente do Senado, Renan Calheiros (PMDB-AL). O senador JoÌ£o Capiberibe (PSB-AP), autor do requerimento de realizaÌ¤Ì£o da solenidade, afirmou que os crimes cometidos durante o regime militar ficaram impunes. ""A impunidade fez com que atÌ© hoje se realize torturas em delegacias"", afirmou o socialista. Ele cobrou a aprovaÌ¤Ì£o pelo Legislativo do projeto de lei do senador Randolfe Rodrigues (PSOL-AP) ou da deputada Luiza Erundina (PSB-SP) que revisa a legislaÌ¤Ì£o da Anistia, de 1979.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,AE NoticiÌÁrio,1 Abril 2014,Ministro inicia giro pelo Brasil em defesa da Copa,,Rafael Moraes Moura,PORTUGUESE; PORTUGUÌ_S,,,,BrasÌ_lia,FASTNEWS,Boletim de notÌ_cias,269 palavras,1-Apr-14,ESPORTES,,"O ministro-chefe da Secretaria-Geral da PresidÌ»ncia da RepÌ¼blica, Gilberto Carvalho, desembarca nesta quarta-feira em Manaus com uma missÌ£o: iniciar uma operaÌ¤Ì£o do PalÌÁcio do Planalto em defesa da Copa do Mundo. A ideia Ì© manter encontros com movimentos sociais, sindicatos e lideranÌ¤as comunitÌÁrias nas 12 cidades-sede do Mundial, com o objetivo de destacar os efeitos positivos da realizaÌ¤Ì£o do torneio no PaÌ_s, ressaltar os ganhos com obras de infraestrutura e blindar a Copa do Mundo - e, consequentemente, o prÌ_prio governo - de ataques. Nesta terÌ¤a-feira, Carvalho se reuniu com os ministros Aldo Rebelo (Esporte) e Thomas Traumann (Secretaria de ComunicaÌ¤Ì£o Social) para alinhar nÌ¼meros e iniciativas do governo e traÌ¤ar o discurso que deverÌÁ ser apresentado ÌÊ sociedade. Segundo um assessor palaciano, o governo tem a certeza de que haverÌÁ protestos nas ruas durante a realizaÌ¤Ì£o do Mundial, mas acredita que a esmagadora maioria da populaÌ¤Ì£o brasileira Ì© a favor da Copa e nÌ£o se manifestarÌÁ contra o evento. Uma onda negativa anti-Copa poderÌÁ ter reflexo nas eleiÌ¤Ìµes de outubro, avaliam auxiliares da presidente. No ano passado, a sÌ©rie de manifestaÌ¤Ìµes em meados do ano, durante a realizaÌ¤Ì£o da Copa das ConfederaÌ¤Ìµes, derrubou a popularidade de Dilma. Integrantes do governo reconhecem, em conversas reservadas, que hÌÁ de fato um desgaste por causa da associaÌ¤Ì£o do Planalto com a Fifa e a CBF, mas acreditam que hÌÁ tempo suficiente para reverter esse cenÌÁrio. O Planalto aposta no argumento de geraÌ¤Ì£o de empregos, melhoria nos aeroportos e realizaÌ¤Ì£o de obras de infraestrutura por causa do megaevento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,AE NoticiÌÁrio,2 Abril 2014,Novas empresas de Ì«nibus jÌÁ estÌ£o atuando no DF,,Ayr Aliski,PORTUGUESE; PORTUGUÌ_S,,,,BrasÌ_lia,FASTNEWS,Boletim de notÌ_cias,293 palavras,2-Apr-14,GERAL,,"As novas empresas escolhidas para atuar no Entorno Sul do Distrito Federal, em carÌÁter emergencial, comeÌ¤aram a operar nesta quarta-feira, informa a AgÌ»ncia Nacional de Transportes Terrestres (ANTT). Por enquanto, apenas parcela de 10% da nova frota prevista estÌÁ trafegando. A ideia Ì© que pelos menos 210 novos veÌ_culos passem a circular pela regiÌ£o. Segundo a agÌ»ncia, as empresas estÌ£o enfrentando dificuldades para a contrataÌ¤Ì£o de motoristas, uma vez que estÌÁ sendo realizada uma ""seleÌ¤Ì£o criteriosa"", respeitando diversos requisitos de qualificaÌ¤Ì£o. Dessa forma, a entrada em operaÌ¤Ì£o das novas empresas serÌÁ gradual. Assim que forem concretizados os acordos de trabalho, a operaÌ¤Ì£o serÌÁ regularizada, informa a ANTT, em nota. As empresas UniÌ£o Transporte BrasÌ_lia (UTB) e ViaÌ¤Ì£o Capital Ltda (Viacap) venceram a disputa do processo seletivo aberto pela agÌ»ncia para operaÌ¤Ì£o entre o Distrito Federal e a regiÌ£o do Entorno Sul. A UTB vai explorar as linhas entre o Distrito Federal e a Cidade Ocidental e ValparaÌ_so de GoiÌÁs (Lote 1). A Viacap ficarÌÁ com as linhas entre o Distrito Federal e o Novo Gama e LuziÌ¢nia (Lote 2). Essas prestadoras estÌ£o autorizadas a executar o serviÌ¤o atÌ© o final da licitaÌ¤Ì£o do transporte semiurbano, que terÌÁ inÌ_cio nos prÌ_ximos dias. Essa operaÌ¤Ì£o ocorre sob o regime de autorizaÌ¤Ì£o especial, uma vez que a precariedade do transporte pÌ¼blico na regiÌ£o gerou uma onda de protestos em marÌ¤o. Houve, inclusive, casos de Ì«nibus incendiados. A PM entrou em confronto com os manifestantes e utilizou bombas de efeito moral, jatos de ÌÁgua, spray de pimenta e balas de borracha. Nessa regiÌ£o, mais de cem mil pessoas utilizam Ì«nibus para realizar o trajeto entre cidades que ficam em GoiÌÁs, ao lado da divisa com o DF, e BrasÌ_lia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
