SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,BYLINE,LANGUAGE,COUNTRY,SECTION,SP,STATE,JOURNAL-CODE,PUBLICATION-TYPE,LENGTH,LOAD-DATE,DATELINE,SUBJECT,TEXT
1,O Globo (Brazil),"June 25, 2014",Manifestantes são acusados de integrar milícia em sp,,Ricardo Della Colleta e Jorge Macedo,PORTUGUESE; PORTUGUÊS,,GERAL,,Brasília,FASTNEWS,Boletim de notícias,181 palavras,"June 24, 2014",,,"Para o estado, dois militantes presos em protesto segunda-feira fariam parte dos black blocs Renato Onofre renato.onofre@sp.oglobo.com.br De novo. O professor de inglês Rafael Marques Lusvarghi é detido pela Polícia Militar mais uma vez, durante protesto contra a Copa do Mundo em São Paulo Imobilizado. No dia 12 de junho, ele foi atingido por bala de borracha e, já preso, levou um spray de pimenta no rosto Fernando Donasci Robson Fernandes / Agencia Estado / 12-06-2014 Os dois manifestantes presos na segunda-feira, em São Paulo, durante novo protesto contra a Copa do Mundo foram acusados de se associar criminalmente para promover vandalismo e fazer parte de milícia privada - que, na visão do estado, seria os black blocs. A informação é da Secretaria estadual de Segurança Pública. É a primeira vez em São Paulo que manifestantes são presos em flagrante por essas acusações. Durante a manifestação, policiais civis sem identificação visível acompanharam a passeata, que começou logo após o início do jogo do Brasil contra Camarões, às 17h, e ""marcaram"" de perto alguns manifestantes. Dois deles foram presos: o professor de inglês Rafael Marques Lusvarghi, de 29 anos, conhecido como Professor, e o técnico de laboratório Fabio Hideki Harano, de 26 anos, o Japonês. Lusvarghi foi detido no final do ato. Durante sua prisão, um homem sem nenhuma identificação sacou uma arma e atirou duas vezes para o alto. Ontem, a Secretaria de Segurança Pública informou que se tratava de um policial civil do Departamento Estadual de Investigações Criminais (Deic). Ele estaria no local para cumprir mandados de condução coercitiva de 22 pessoas convocadas para depoimento, na própria tarde de segunda, sobre os atos de vandalismo registrados em protesto no feriado de Corpus Christi - entre elas, estariam os presos. - Esse fato (atirar para o alto) é objeto de apuração, mas não há, a princípio, nada de irregular. Há dois indivíduos presos que pertencem aos black blocs. Eles estavam incitando o crime com material incendiário, com material para prática de atos violentos, incitando pessoas contra os policiais que estavam ali. Esse tiro foi de advertência, o que é uma ação de legítima defesa - afirmou o secretário de Segurança, Fernando Grella Vieira. Lusvarghi chegou ao ato, que durou cerca de duas horas, sem camisa e vestindo um Kilt (vestimenta de origem escocesa, semelhante a uma saia). Já Harano carregava na mochila uma máscara para minimizar os efeitos de bombas de gás, mas passou todo o evento sem colocá-la. Eles não tinham o rosto coberto, a marca dos black blocs. Não foi a primeira vez que Professor foi a um ato e se envolveu em confusão. No dia 12 de junho, na abertura da Copa, ele levou dois tiros de bala de borracha depois de dançar na frente da tropa de choque, que enfrentava manifestantes na Radial Leste, principal acesso ao estádio de Itaquera. No ato seguinte, quando vândalos depredaram agências bancárias e de carros, Lusvarghi não estava no centro do protesto. Dias após a primeira confusão, Lusvarghi contou à imprensa que perdeu o emprego numa escola de inglês, após pais de alunos fazerem perguntas sobre o ""professor que enfrentou a tropa de choque"". Na ocasião, além dos tiros, ele foi imobilizado por cinco policiais e levou gás de pimenta no rosto. Rafael Lusvarghi é de Indaiatuba, no interior paulista. Ele já deu declarações afirmando que pertenceu às polícias militares do Pará e de São Paulo. Além disso, teria citado uma passagem pelas Forças Armadas Revolucionárias da Colômbia (Farc) e até pela Legião Estrangeira, grupo francês. No protesto de segunda, ele não carregava mochilas, nem máscara. Lusvarghi estava eufórico. Foi reconhecido por manifestantes e passou as duas horas antes do início da passeata ingerindo bebida alcoólica. Durante todo o ato, ele foi seguido por um homem de camisa polo vermelha, que depois foi embora junto com agentes da Polícia Civil. No final do ato, na altura da Masp, o professor chegou a subir em algumas lixeiras de concreto. Quando foi preso, policiais civis não identificados afirmaram que ele estava ""quebrando"" o patrimônio público. Manifestantes afirmaram que ele foi preso sem motivos. Já populares que estavam num bar próximo à confusão disseram que o jovem teria ofendido um dos policiais. O comportamento de Rafael dividiu opiniões. O Movimento dos Trabalhadores Sem Teto repudiou a ação. Já outras pessoas que estavam no ato elogiaram. O grupo Advogados Ativistas, que dá assistência aos manifestantes, repudiou a prisão: ""As prisões destes manifestantes ocorrem em um momento oportuno para a Polícia Civil. O Deic, departamento responsável pela administração de um inquérito que está investigando a vida de diversos manifestantes, ainda não conseguiu apresentar provas suficientes que emplacassem em uma ação penal contra qualquer deles. A insuficiência probatória, que já foi objeto de crítica de diversos órgãos de direitos humanos, demonstra a completa objetivação política de criminalização das manifestações populares dentro deste inquérito"" Copyright Grupo de Diarios Amyeacute;rica-GDA/O Globo/Brasil. Todos los derechos reservados. Prohibido su uso o reproducciyoacute;n en Brasil © NoticiasFinancieras - © GDA- Agencia Globo - All rights reserved Manifestantes fazem protesto em Brasília  Com gritos de ""Ei, Fifa, volta pra Suíça"", um grupo de cerca de 60 manifestantes, segundo estimativa da Polícia Militar, realiza na tarde desta segunda-feira, 23, protesto contra a Copa do Mundo no Eixo Monumental, em Brasília, próximo à rodoviária. A PM mobilizou um efetivo de 200 homens para fazer a barreira policial do Eixo Monumental, principal via de acesso ao estádio Mané Garrincha, e impedir a aproximação dos manifestantes. Ao chegarem em frente à barreira, que isola a área num raio de 1,5 quilômetro do estádio, os manifestantes atearam fogo a uma réplica da Taça Fifa. Apesar disso, o ato transcorre de forma pacífica e os manifestantes, ao serem impedidos de continuar o caminho até o estádio, decidiram retornar à rodoviária. O protesto é organizado por movimentos sociais, como o Juntos. Um dos organizadores da manifestação, Thiago Ávila, do Comitê Popular da Copa, disse que o protesto é contra os gastos excessivos da Copa, a má qualidade dos serviços públicos e ""violações de direitos ocorridas durante a organização do mundial, com a remoção de famílias para as obras""."
3,AE Noticiário,26 Junho 2014,Protesto contra prisão de servidor da USP fecha Paulista,,Luiz Fernando Toledo,PORTUGUESE; PORTUGUÊS,,GERAL,,São Paulo,FASTNEWS,Boletim de notícias,194 palavras,"June 26, 2014",,,"Cerca de 300 pessoas participam de um ato na Avenida Paulista na noite desta quinta-feira, 26, em protesto contra a prisão do servidor e estudante da USP Fábio Hideki Harano. Ele foi detido na segunda-feira, durante protesto contra a Copa do Mundo, em São Paulo, sob suspeita de cometer atos de vandalismo e associação criminosa. Os manifestantes se reuniram no vão livre do Museu de Arte de São Paulo (Masp), por volta das 17 horas, e começaram a marchar às 19 horas, quando fecharam uma pista da Avenida Paulista, no sentido Consolação. A Tropa de Choque acompanha a manifestação. Os ativistas levam faixas que exigem a libertação imediata de Harano. Os cartazes também pedem a saída do secretário da Segurança Pública de São Paulo, Fernando Grella. Em frente aos PMs, os manifestantes cantam ""que vergonha deve ser reprimir trabalhador para ter o que comer"". Mais cedo, policiais da Tropa de Choque fizeram vistorias em manifestantes no vão livre do Masp. Segundo um tenente que não quis se identificar, o ato foi apenas preventivo, considerando que nos últimos protestos, segundo ele, manifestantes carregavam em suas mochilas alguns objetos para atacar policiais."
4,AE Noticiário,23 Junho 2014,Manifestantes fazem ato pacífico em Porto Alegre,,Elder Ogliari,PORTUGUESE; PORTUGUÊS,,GERAL,,Porto Alegre,FASTNEWS,Boletim de notícias,245 palavras,"June 24, 2014",,,"Manifestantes contrários à Copa do Mundo caminharam pelas ruas centrais de Porto Alegre gritando palavras de ordem contra o maior evento do futebol mundial nesta segunda-feira, 23. Um destacamento da Brigada Militar acompanhou de perto o protesto, enquanto outros pelotões se postaram em ruas transversais. Desta vez não houve depredações como no dia da abertura da Copa, quando alguns dos 600 manifestantes, acompanhados de longe pela polícia, apedrejaram vidraças, derrubaram placas de sinalização de trânsito, viraram contêineres de lixo nas ruas e depredaram bancas de revistas. Convocado pelo Bloco de Luta pelo Transporte Público, o protesto desta segunda-feira reuniu menos gente do que o previsto. Dos 26 mil convidados, mil confirmaram presença e apenas 120 compareceram. Enquanto caminhavam, eles cantaram refrões como ""Ei, Fifa, volta pra Suíça""; ""Violenta é a polícia""; ""Da Copa eu abro mão, quero mais dinheiro pra saúde e educação""; ""E no Beira-Rio, quando a bola rola, não tem saúde, não tem transporte, não tem escola"". O momento mais tenso foi a caminhada pelas cinco quadras da Rua Doutor Flores, uma área totalmente comercial da cidade. Ao perceber a aproximação dos manifestantes, com medo da repetição das depredações do dia 12, os gerentes fecharam as lojas e, depois da passagem do grupo, voltaram a abri-las. Os participantes encerraram o protesto quando chegaram à esquina da Avenida Loureiro da Silva com José do Patrocínio, no bairro Cidade Baixa."
5,AE Noticiário,24 Junho 2014,Estudantes da USP protestam por cotas,,Victor Vieira,PORTUGUESE; PORTUGUÊS,,GERAL,,São Paulo,FASTNEWS,Boletim de notícias,279 palavras,"June 24, 2014",,,"Cerca de 150 estudantes da Universidade de São Paulo (USP), segundo a Polícia Militar, fizeram um protesto na noite desta terça-feira, 24, na região central da capital paulista, a favor de cotas na instituição. Até as 19h30, não havia nenhuma ocorrência e o grupo pretendia marchar até a Praça Roosevelt, no centro. Policiais militares acompanham o ato em bicicletas. Os manifestantes se reuniram às 17h no vão livre do Museu de Arte de São Paulo (Masp) e iniciaram a marcha quase uma hora e meia depois. Por volta das 19h20, o grupo descia a Rua da Consolação. O protesto era pacífico. Com gritos, faixas e tambores, eles afirmam que a USP é elitista e reivindicam mais políticas de inclusão, como cotas no vestibular e reforço na assistência estudantil. ""A quantidade de negros na USP ainda é muito pequena, bem abaixo do que poderia ser caso a universidade seguisse a lei federal de cotas"", afirmou Cristiane Alves Avelar, integrante do Núcleo de Consciência Negra da USP e aluna de Letras. A lei federal de cotas prevê reserva de 50% das vagas, com distribuição proporcional de cadeiras para negros, pardos e indígenas de acordo com a população de cada Estado, nas instituições públicas federais até 2016. A USP adotou sistemas de bonificação, mas recusou as cotas raciais e sociais. Futebol. A Pró-reitoria de Graduação, entretanto, já afirmou que pretende rediscutir neste ano as fórmulas de ingresso na instituição. Sem entender exatamente as causas do protesto que tomava a Paulista, o turista belga Nordin Beniz, de 40 anos, fazia fotos da passeata dos alunos. ""Não é o que imaginávamos do Brasil. Pensávamos que o País inteiro parava para assistir ao futebol"", disse."
6,AE Noticiário,25 Junho 2014,Criança de 3 anos é baleada na zona norte do Rio,,Tiago Rogero,PORTUGUESE; PORTUGUÊS,,GERAL,,Rio,FASTNEWS,Boletim de notícias,553 palavras,"June 25, 2014",,,"Um garoto de 3 anos foi baleado nesta quarta-feira, 25, na cabeça durante tiroteio entre policiais militares e criminosos no Morro da Quitanda, em Costa Barros, na zona norte do Rio. Luiz Felipe Rangel Bento foi atingido enquanto dormia, no quarto de sua mãe. Militares do 41º BPM (Irajá) faziam operação na comunidade e teriam sido recebidos a tiros pelos criminosos. O caso está sendo investigado pela Divisão de Homicídios da Polícia Civil e ainda não há informações sobre a origem do tiro que matou a criança. Revoltados com a morte de Luiz Felipe, moradores do Morro da Quitanda fecharam as vias de acesso, depredaram pelo menos cinco ônibus e obstruíram os trilhos da linha férrea. Por três horas, as estações de trens mais próximas ao Morro da Quitanda, de Barros Filho e Costa Barros, ficaram fechadas, e a circulação do ramal Belford Roxo teve de ser desviada para outras paradas. Cinco estações de metrô da zona norte também chegaram a ser fechadas para embarque por motivos de segurança; por 15 minutos, segundo a concessionária MetrôRio. O protesto acabou por volta de 14h. Além de Luiz Felipe, outras duas pessoas foram baleadas - no protesto, segundo elas. O motorista Cláudio Renato da Silva, de 30 anos, contou que estava num bar quando o protesto começou. Ele foi atingido de raspão no abdômen. Uma adolescente de 14 anos também foi atingida de raspão, na perna esquerda. Ambos foram encaminhados à Unidade de Pronto Atendimento (UPA) de Costa Barros, e depois liberados. Luiz Felipe também foi encaminhado à UPA, mas segundo a secretaria municipal de Saúde chegou já sem vida à unidade. Ao jornal Extra, a mãe o garoto, Jurema Rangel Bento Paes, de 19 anos, disse que o filho dormia no momento em que a PM fazia a operação e teve início o tiroteio. ""A bala atravessou a cabecinha dele e ainda quebrou meu celular. Tenho certeza que foi tiro de policiais. Desde sexta-feira, 20, está tendo tiro direto lá (no Morro da Quitanda). Eu estou doida para me mudar, para sair daquele lugar"". Registrado pelos PMs inicialmente na delegacia mais próxima, a 39ª DP, na Pavuna, o caso foi encaminhado à Divisão de Homicídios, que fica na Barra da Tijuca, na zona oeste, a 30km de distância do local do crime. Nesta quarta, agentes estiveram no local do tiroteio e também na UPA. Em nota, a PM informou que o policiamento na comunidade está ""reforçado"" desde a semana passada, quando o setor de inteligência do 41º BPM recebeu ""informações de que criminosos estariam roubando veículos de carga e transportando as mercadorias para dentro da favela"". ""Na manhã desta quarta-feira, policiais foram recebidos a tiros quando chegavam para o patrulhamento com o apoio de um blindado"", informou a PM. ""O local do crime foi preservado até a chegada da perícia. As armas dos policiais já estão a disposição da Divisão de Homicídios"". Zona sul Na Lagoa Rodrigo de Freitas, um dos principais pontos turísticos do Rio, o empresário Marcos Lourembergh do Nascimento, de 47 anos, foi baleado durante uma tentativa de assalto. Ele andava de bicicleta quando foi abordado por quatro criminosos em duas motos; Marcos teria tentado fugir e foi baleado. O tiro atravessou uma de suas mãos e lhe atingiu o olho esquerdo. Internado no Hospital Miguel Couto, na Gávea, Marcos não corre risco de morrer, mas pode perder a visão do olho atingido."
7,O Globo (Brazil),"June 23, 2014",Mpl diz que quebra-quebra é parte das 'lutas populares',,OGlobo,PORTUGUESE; PORTUGUÊS,Egypt,,,,,Boletim de noticías,648 palavras,"June 24, 2014",CAIRO 23 Jun 2014,SUBJECT:,"Movimento declara, porém, que depredações nunca foram um dos objetivos do ato do dia 19 O Movimento Passe Livre (MPL) divulgou nota no fim de semana afirmando que não cabe a ele legitimar ou deslegitimar a violência ocorrida quinta-feira passada, durante o protesto ""Não vai ter tarifa"", que marcou um ano da revogação do aumento da passagem de ônibus em São Paulo. Segundo o MPL, embora os atos de violência não estivessem entre os objetivos da manifestação, historicamente, os quebra-quebras fizeram parte das lutas populares. Durante o ato do MPL, black blocs depredaram agências bancárias e uma concessionária de carros de luxo, deixando prejuízo estimado em R$ 2 milhões. ""Sabemos que historicamente os quebra-quebras fizeram parte das lutas populares. Não cabe a nós legitimar ou deslegitimar essas ações; no entanto, elas nunca estiveram entre os objetivos do ato do dia 19"", diz a nota do MPL. Na última quinta-feira, O GLOBO flagrou jovens do MPL garantindo aos black blocs que poderiam partir para o quebra-quebra no final do protesto, já na Marginal Pinheiros. Após as depredações, a Polícia Militar de São Paulo responsabilizou o MPL pelos atos de violência. Segundo o comando da PM, havia um acordo com o movimento para que os policiais não acompanhassem de perto o ato. O Batalhão de Choque só chegou ao local após a depredação. Segundo o coronel Leonardo Torres Ribeiro, comandante do policiamento da capital, a PM atendeu a um pedido do movimento. O coronel declarou que a PM foi traída pelo movimento. Copyright Grupo de Diarios Amyeacute;rica-GDA/O Globo/Brasil. Todos los derechos reservados. Prohibido su uso o reproducciyoacute;n en Brasil © NoticiasFinancieras - © GDA- Agencia Globo - All rights reserved  Movimento declara, porém, que depredações nunca foram um dos objetivos do ato do dia 19 O Movimento Passe Livre (MPL) divulgou nota no fim de semana afirmando que não cabe a ele legitimar ou deslegitimar a violência ocorrida quinta-feira passada, durante o protesto ""Não vai ter tarifa"", que marcou um ano da revogação do aumento da passagem de ônibus em São Paulo. Segundo o MPL, embora os atos de violência não estivessem entre os objetivos da manifestação, historicamente, os quebra-quebras fizeram parte das lutas populares. Durante o ato do MPL, black blocs depredaram agências bancárias e uma concessionária de carros de luxo, deixando prejuízo estimado em R$ 2 milhões. ""Sabemos que historicamente os quebra-quebras fizeram parte das lutas populares. Não cabe a nós legitimar ou deslegitimar essas ações; no entanto, elas nunca estiveram entre os objetivos do ato do dia 19"", diz a nota do MPL. Na última quinta-feira, O GLOBO flagrou jovens do MPL garantindo aos black blocs que poderiam partir para o quebra-quebra no final do protesto, já na Marginal Pinheiros. Após as depredações, a Polícia Militar de São Paulo responsabilizou o MPL pelos atos de violência. Segundo o comando da PM, havia um acordo com o movimento para que os policiais não acompanhassem de perto o ato. O Batalhão de Choque só chegou ao local após a depredação. Segundo o coronel Leonardo Torres Ribeiro, comandante do policiamento da capital, a PM atendeu a um pedido do movimento. O coronel declarou que a PM foi traída pelo movimento. Copyright Grupo de Diarios Amyeacute;rica-GDA/O Globo/Brasil. Todos los derechos reservados. Prohibido su uso o reproducciyoacute;n en Brasil © NoticiasFinancieras - © GDA- Agencia Globo - All rights reserved Egito condena jornalistas da Al-Jazeera e gera protestos internacionais  Um tribunal egípcio condenou nesta segunda-feira três jornalistas da Al-Jazeera, acusados de apoiar os islamitas, entre eles o australiano Peter Greste, a uma pena de sete a 10 anos de prisão, uma sentença que provocou uma onda de protestos internacionais. Em nível internacional foi lançada uma campanha para apoiar os jornalistas com o slogan ""o jornalismo não é um crime"". Após a visita do secretário de Estado americano, John Kerry, cujo país prometeu o desbloqueio de um terço de sua importante ajuda militar ao Egito, era esperada uma absolvição. Kerry chegou a pedir que o Egito apoiasse a liberdade de imprensa. Greste e o egípcio-canadense Mohamed Fadel Fahmy, chefe do escritório da rede do Catar antes de sua proibição no Egito, foram condenados a sete anos de prisão, e o egípcio Baher Mohamed a 10. Entre os outros acusados, há dois jornalistas britânicos e um holandês que já se encontram no exterior e foram condenados a 10 anos de prisão. A rede Al-Jazeera classificou o veredicto de injusto, enquanto a Austrália disse estar consternada. A Holanda, por sua vez, chamou para consultas seu embaixador no Egito e afirmou que a jornalista Rena Netjes não havia tido direito ""a um julgamento justo"", ressaltando que o caso será tratado com a União Europeia. O Egito considera a rede de televisão como uma porta-voz do Catar, país criticado por seu apoio à Irmandade Muçulmana, enquanto Doha denuncia abertamente as repressões contra os partidários do presidente deposto Mohamed Mursi. ""A detenção de nossos companheiros não tem nenhuma justificativa. É uma vergonha que tenham ficado detidos por 177 dias e a condenação também é ilógica, falta de sentido comum e aparentemente de justiça"", declarou a rede do pequeno emirado após o anúncio do veredicto. Das 20 pessoas julgadas neste caso, 16 egípcios foram acusados de pertencer a uma organização terrorista, a Irmandade Muçulmana, e de ter tentado ""prejudicar a imagem do Egito"", e quatro estrangeiros de ter publicado informações falsas para apoiar o grupo. Após o anúncio do veredicto, Fadel Fahmy gritou: ""Vão pagar por isso, vão pagar por isso, eu juro!"". ""Estamos destruídos, é difícil encontrar as palavras para descrever o que sentimos. Não esperávamos nada disso, pensávamos que seria absolvido"", declarou Andrew Greste, cujo irmão trabalhou anteriormente para a BBC e recebeu vários prêmios. ""Vamos lutar por sua libertação"", acrescentou. Não haverá indulto por ora Um funcionário da presidência egípcia declarou à AFP que nenhum indulto será concedido no momento e que não é possível intervir até que um tribunal de apelação se pronuncie sobre o assunto. Chabane Said, advogado da defesa, denunciou que se tratava de uma sentença política. ""Não há nenhuma prova contra os acusados. Todos os jornalistas devem se preocupar a partir de agora: não há justiça, é a política que dita a lei"", disse. O veredicto é divulgado duas semanas após a eleição à presidência do ex-chefe militar Abdel Fatah al-Sissi com 96,9% dos votos. O marechal dirigia de fato o país desde que derrubou e prendeu o presidente anterior, Mohamed Mursi, no dia 3 de julho de 2013, e lançou uma sangrenta repressão contra toda a oposição política. O exército e a polícia mataram mais de 1.400 manifestantes pró-Mursi e detiveram mais de 15.000 pessoas, muitas das quais foram condenadas à morte ou à prisão perpétua em julgamento rápidos e em massa. Os jornalistas Greste e Fahmy foram detidos quando cobriam estes acontecimentos no dia 29 de dezembro em um quarto de hotel do Cairo transformado em escritório depois que a polícia invadiu a sede da Al-Jazeera. Os repórteres trabalhavam sem o credenciamento que era obrigatório para todos os meios de comunicação. Em sua visita ao Cairo no domingo, o secretário americano de Estado pediu que o Egito preserve a liberdade de imprensa e disse que a transição pós-Mursi está em um momento crítico. ht-tgg/sbh/hj/pop/jo/ma"
10,Agence France Presse -- Portuguese,"June 29, 2014",Japonês ateia fogo ao corpo em protesto contra o governo,,,PORTUGUESE; PORTUGUÊS,Japan,,,,,Boletim de noticías,141 palavras,"June 29, 2014",TõQUIO 29 Jun 2014,SUBJECT:,"Um japonês ateou fogo ao corpo no centro de Tóquio neste domingo, depois de pronunciar um discurso contra o projeto do primeiro-ministro Shinzo Abe de modificar a Constituição pacifista do país. O homem, que sofreu muitas queimaduras, foi levado para um hospital. As autoridades não informaram sobre o estado de saúde do manifestante. De acordo com as fotos publicadas por testemunhas do protesto na internet, o homem, com idade por volta de 50 anos, jogou combustível no corpo e ateou fogo perto da estação de Shinjuku, um dos bairros comerciais mais importantes da capital nipônica. O primeiro-ministro Shinzo Abe deseja modificar a Constituição pacifista em vigor no país desde o fim da Segunda Guerra Mundial. Ele pretende permitir intervenções militares do Japão no exterior em defesa de um aliado, o que é vetado pela atual Carta Magna. sps-kap/fp"
11,AE Noticiário,23 Junho 2014,Egito condena três jornalistas da Al-Jazeera à prisão,,AE,PORTUGUESE; PORTUGUÊS,,INTERNACIONAL,,Cairo,FASTNEWS,Boletim de notícias,303 palavras,"June 24, 2014",,,"Um tribunal do Egito sentenciou três jornalistas da Al-Jazeera a sete anos de prisão cada um por acusações relacionadas com terrorismo, em um veredicto que surpreendeu suas famílias e foi rapidamente denunciado como um golpe contra a liberdade de expressão. Os veredictos contra o australiano Peter Greste, o canadense-egípcio Mohamed Fahmy e o egípcio Baher Mohammed foram dados depois de um julgamento que durou cinco meses e que foi classificado pela Anistia Internacional como uma ""farsa"", chamando as decisões de segunda-feira de ""um dia negro para a liberdade de imprensa no Egito"". Os três, que foram detidos em dezembro, declararam que eles estão sendo processados apenas por fazerem os seus trabalhos como jornalistas, cobrindo protestos islâmicos contra a deposição do presidente Mohammed Morsi em julho do ano passado. Outros três jornalistas estrangeiros, dois britânicos e um holandês, foram condenados à revelia a 10 anos de prisão recentemente. Grupos de mídia têm classificado o julgamento como político devido a luta entre o governo e a rede Al-Jazeera, do Qatar, que as autoridades acusam de apoiar a Irmandade Muçulmana e o ex-presidente Morsi, o que é negado pela emissora. Os promotores acusaram os jornalistas a manipularem imagens, com apoio da Irmandade Muçulmana, para ""minarem a segurança nacional do Egito"" e fazerem parecer que o país estava enfrentando uma guerra civil. No entanto, a acusação apresentou pouca evidência no julgamento. Os três receberam penas de sete anos cada um em uma prisão de segurança máxima. Mohammed, o produtor do grupo, recebeu uma punição extra de três anos por supostamente estar portando munição. A rede Al-Jazeera afirmou que o explosivo estava dentro de uma concha que estava em posse do jornalista - um souvenir que ele pegou dos protestos. Fonte: Associated Press."
12,AE Noticiário,23 Junho 2014,Alckmin diz que não tolerará vandalismo em ato desta 2ª,,Ricardo Brandt,PORTUGUESE; PORTUGUÊS,,GERAL,,Campinas,FASTNEWS,Boletim de notícias,167 palavras,"June 24, 2014",,,"O governador de São Paulo, Geraldo Alckmin (PSDB), afirmou na manhã desta segunda-feira, 23, que a polícia não admitirá vandalismo no protesto marcado para hoje à tarde, na capital. ""Manifestação não há nenhum problema, é legítimo. O que não pode ter é ato criminoso, que é depredação de patrimônio público e privado e vandalismo. Isso não vai ser alterado"", afirmou Alckmin, durante visita a obras do governo do Estado, em Nova Odessa, no interior do Estado. O governador afirmou que a Polícia Militar já tem estratégia preparada para o ato. Alckmin voltou a dizer que houve avanços nas investigações sobre os envolvidos no quebra-quebra da quinta-feira passada, na zona oeste de São Paulo, durante protesto organizado pelo Movimento Passe Livre (MPL). ""Super avançou. Mas vamos deixar que a policia no momento adequado (informe sobre o caso) para não prejudicar as investigações fale"", desconversou o governador. Dois dias antes, o tucano havia afirmado que buscaria a responsabilização dos envolvidos."
13,AE Noticiário,23 Junho 2014,"No Rio, Lindberg comemora aliança entre Pezão e Maia",,Fábio Grellet,PORTUGUESE; PORTUGUÊS,,POLÍTICA,,Rio,FASTNEWS,Boletim de notícias,257 palavras,"June 24, 2014",,,"O candidato do PT ao governo do Rio, Lindberg Farias, comemorou a aliança entre seu adversário Luiz Fernando Pezão (PMDB), governador candidato à reeleição, e o candidato a senador Cesar Maia (DEM). Para ele, os eleitores vão rejeitar os representantes do que ele classifica como ""velha política"". ""Haverá uma polarização entre as forças progressistas, que somos eu e (o candidato a senador pelo PSB) Romário, e os representantes do continuísmo. Mais de 70% dos eleitores querem mudança, os protestos do ano passado mostraram isso, e a aliança deles representa mais do mesmo"", afirmou nesta segunda-feira, 23. Dirigentes petistas avaliam que a rejeição a Cesar Maia e a Pezão será decisiva na eleição. ""Soltamos rojões ao saber dessa aliança"", brinca um líder do partido. Por meio de seu blog, o deputado federal Anthony Garotinho, candidato a governador pelo PR, fez críticas às duas aliança anunciadas nos últimos dias no Rio (de Pezão com Maia e do petista Lindbergh com o socialista Romário). ""Fica claro que muitos políticos do Rio de Janeiro não aprenderam nada com os protestos do ano passado, na verdade parece que esqueceram que a população rejeita os partidos políticos e está cansada da velha política de acordos por baixo dos panos, de traições, de arranjos entre dirigentes onde o povo não é consultado. Muitos acham que podem mudar de lado e carregar o povo junto. Subestimam a capacidade dos eleitores, vão quebrar a cara"", escreveu Garotinho. O candidato a governador pelo PRB, Marcelo Crivella, não se manifestou sobre as alianças."
