SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,BYLINE,LANGUAGE,COUNTRY,SECTION,STATE,JOURNAL-CODE,PUBLICATION-TYPE,LENGTH,LOAD-DATE,DATELINE,SUBJECT,TEXT
1,O Globo (Brazil),"July 13, 2014",Pesquisadores dizem que insatisfação não diminuiu,,Laís Alegretti,PORTUGUESE; PORTUGUÊS,,GERAL,Brasília,FASTNEWS,Boletim de notícias,244 palavras,"July 13, 2014",,,"Para eles, eleições devem atenuar repressão policial e reacender protestos suspensos no mundial Tiago Dantas tiago.dantas@sp.oglobo.com.br Em 12 de junho, um protesto contra o Mundial levou cerca de 500 pessoas às ruas do Tatuapé, em São Paulo. Com bombas de gás lacrimogêneo e cassetetes, a PM não deixou os manifestantes ocuparem a Radial Leste, principal via de acesso ao Itaquerão, onde seria disputada a partida entre Brasil e Croácia. A impressão era que assim seria por todos os jogos da Copa na capital paulista, mas a ação da polícia fez com que a adesão aos protestos ficasse cada vez menor. - A curto prazo, o governo conseguiu o que queria: diminuiu os protestos contra a Copa. Mas a médio e longo prazo, os movimentos estão se articulando e aumentando o radicalismo. Se havia alguma chance de diálogo e mediação entre o Estado e os movimentos, essa chance deixou de existir depois da Copa - analisa a professora Esther Solano, pesquisadora da Universidade Federal de São Paulo (Unifesp), que estuda adeptos da tática black bloc desde o ano passado. Segundo pesquisadores, a redução no número de protestos em São Paulo não significa, necessariamente, que houve também uma diminuição no grau de insatisfação das pessoas com a política em geral. O sociólogo Wagner Iglecias, professor da Universidade de São Paulo (USP), lembra o grande número de eleitores que não sabem em quem votarão ou que declaram votos nulos em recentes pesquisas. De acordo com Iglecias, a proximidade das eleições deve levar à diminuição da repressão policial às manifestações. - Imagino que, depois da Copa, volte a ter uma liberdade maior de manifestação, até porque, às vésperas das eleições, pega mal para um governo reprimir manifestações pacíficas - acrescentou Iglecias. Enquanto os atos contra a Copa do Mundo perderam força, o Movimento dos Trabalhadores Sem-Teto (MTST) levou dezenas de milhares de pessoas a pelo menos três protestos em São Paulo. Chegaram a acampar em frente à Câmara Municipal para pressionar os vereadores a aprovar mudanças no zoneamento de terrenos ocupados, para transformá-los em áreas onde podem ser construídas moradias populares. Uma das ocupações, que recebeu o nome de Copa do Povo, ficava a cerca de três quilômetros do Itaquerão. Copyright Grupo de Diarios Amyeacute;rica-GDA/O Globo/Brasil. Todos los derechos reservados. Prohibido su uso o reproducciyoacute;n en Brasil © NoticiasFinancieras - © GDA- Agencia Globo - All rights reserved Protestos reúnem cerca de 50 manifestantes em Brasília  Aos gritos de ""o povo acordou, o povo decidiu, ou para a roubalheira ou paramos o Brasil"", cerca de 50 manifestantes se reuniram na Praça dos Três Poderes, em Brasília. O encontro ocorreu após o fim do jogo final da Copa do Mundo, que consagrou a Alemanha a campeã do mundial. Durante o protesto, que foi pacífico, a polícia apenas formou um cordão humano para evitar que o pequeno grupo de manifestantes ocupasse a rua que fica atrás do Congresso Nacional e impedisse a passagem dos carros. Um policial militar afirmou ao  Estadão que a inteligência da PM acompanha  nas redes sociais as intenções de protestos e que estaria preparada para o caso de o protesto ser maior e contar com cerca de 2 mil manifestantes. O encontro foi marcado por meio de um vídeo divulgado nas redes sociais. A servidora pública Cristia Lima, que afirma ter participado das manifestações que ocorreram em junho do ano passado, disse que o protesto no último dia da Copa do Mundo teve a função de reclamar da corrupção e dos gastos com o mundial. ""Precisamos fazer oposição ao sistema que está implantado no País. As pessoas precisam sair da comodidade"", disse, sem mencionar nome de políticos. Os participantes negaram que o protesto conte com a participação de partidos políticos e afirmaram que não há um líder no movimento. O alto-falante estava disponível para qualquer pessoa dar um recado aos outros manifestantes. ""Precisamos de eficiência e moralidade neste País"", concluiu Cristina."
3,Agence France Presse -- Portuguese,"July 10, 2014",Venezuela: Justiça processa ex-prefeito de cidade berço dos protestos,,,PORTUGUESE; PORTUGUÊS,Venezuela,,,,Boletim de noticías,304 palavras,"July 10, 2014",CARACAS 10 Jul 2014,SUBJECT:,"A Justiça venezuelana decidiu nesta quarta-feira processar Daniel Ceballos, ex-prefeito opositor de San Cristóbal (oeste), berço dos protestos contra o governo, detido preventivamente há quase quatro meses após ser acusado pelo oficialismo de incitar a violência. ""Em virtude da acusação apresentada pelo Ministério Público, foi ordenada a passagem para julgamento do ex-prefeito de San Cristóbal no estado Táchira Daniel Omar Ceballos Morales, detido em 19 de março do presente ano, por sua ligação com os episódios de violência ocorridos nessa jurisdição andina"", anunciou a Procuradoria venezuelana em um comunicado. O texto não especifica a data do julgamento de Ceballos, acusado dos crimes de rebelião e de conspiração. Depois de sua detenção, o ex-prefeito foi condenado a um ano de prisão e destituído do cargo. Passados dois meses, o posto foi ocupado por sua mulher, Patricia de Ceballos, vencedora da eleição municipal que se seguiu à sua destituição. Ceballos é um dos dirigentes opositores detidos em meio à onda de protestos contra a insegurança e a crise econômica iniciada em San Cristóbal, em 4 de fevereiro passado. Pelo menos 43 pessoas morreram, e centenas ficaram feridas. Junto com Leopoldo López, líder de seu grupo Vontade Popular (VP) e detido na mesma prisão, Ceballos é partidário de ""A saída"", a estratégia de ocupar as ruas e forçar a renúncia de Maduro, eleito em abril de 2013. O presidente classificou o movimento de ""golpe de Estado em desenvolvimento"". Em uma tentativa para pôr fim a esses protestos, que foram perdendo intensidade, governo e oposição se reuniram no âmbito de um diálogo de paz, rompido desde maio. Nessa época, a coalizão de mais de 30 partidos opositores Mesa de Unidade Democrática (MUD) criticou a falta de avanços nos acordos alcançados em reuniões prévias com o oficialismo."
4,AE Conjuntura e Finanças,13 Julho 2014,Cerca de 50 manifestantes se reúnem em Brasília para protestar contra corrupção,,,PORTUGUESE; PORTUGUÊS,,COFI,,CONJUNTURA E FINANCAS,Boletim de notícias,251 palavras,"July 13, 2014",,,"Brasília, 13/07/2014 - Aos gritos de ""o povo acordou, o povo decidiu, ou para a roubalheira ou paramos o Brasil"", cerca de 50 manifestantes se reuniram na Praça dos Três Poderes, em Brasília. O encontro ocorreu após o fim do jogo final da Copa do Mundo, que consagrou a Alemanha a campeã do mundial. Durante o protesto, que foi pacífico, a polícia apenas formou um cordão humano para evitar que o pequeno grupo de manifestantes ocupasse a rua que fica atrás do Congresso Nacional e impedisse a passagem dos carros. Um policial militar afirmou ao  Estadão que a inteligência da PM acompanha  nas redes sociais as intenções de protestos e que estaria preparada para o caso de o protesto ser maior e contar com cerca de 2 mil manifestantes. O encontro foi marcado por meio de um vídeo divulgado nas redes sociais. A servidora pública Cristia Lima, que afirma ter participado das manifestações que ocorreram em junho do ano passado, disse que o protesto no último dia da Copa do Mundo teve a função de reclamar da corrupção e dos gastos com o mundial. ""Precisamos fazer oposição ao sistema que está implantado no País. As pessoas precisam sair da comodidade"", disse, sem mencionar nome de políticos. Os participantes negaram que o protesto conte com a participação de partidos políticos e afirmaram que não há um líder no movimento. O alto-falante estava disponível para qualquer pessoa dar um recado aos outros manifestantes. ""Precisamos de eficiência e moralidade neste País"", concluiu Cristina. (Laís Alegretti)"
5,AE Noticiário,8 Julho 2014,Fiscais da Prefeitura de BH fazem protesto na Savassi,,Suzana Inhesta,PORTUGUESE; PORTUGUÊS,,GERAL,Belo Horizonte,FASTNEWS,Boletim de notícias,255 palavras,"July 8, 2014",,,"Fiscais integrados da prefeitura de Belo Horizonte realizam na manhã desta terça-feira, 8, um protesto na Savassi, na região centro-sul da capital mineira e um dos pontos de aglomeração de torcedores em dias de jogos da Copa. O protesto, que segue de forma pacífica, conta com cerca de 100 pessoas munidas de apitos e faixas, segundo o Sindicato dos Servidores Públicos Municipais de Belo Horizonte (Sindibel) e está na esquina das Avenidas Cristóvão Colombo e Getúlio Vargas, sem atrapalhar o trânsito da região. De acordo com o Sindibel, a categoria decidiu paralisar totalmente suas atividades nesta terça-feira, já que não houve avanço nas reivindicações apresentadas ao governo. Os fiscais pedem mais estrutura e segurança no exercício de suas profissões e chegaram a se reunir ontem com representantes da prefeitura, mas sem sucesso nas negociações. Eles atuam em nove regiões de Belo Horizonte e entre as suas atribuições está a fiscalização de comércio ilegal. A previsão para o término do protesto é às 13 horas. Nesta terça, Belo Horizonte sedia a semifinal da Copa do Mundo de Futebol entre Brasil e Alemanha. Também está prevista uma manifestação na Praça Sete, no centro da capital mineira, a partir das 13 horas. Na página de convocação do ato no Facebook, denominado ""Manifestação contra a corrupção na Semifinal"", há 405 confirmações. Conforme texto de apresentação do protesto na rede social, organizado pela ONG Não Vai Ter Copa-MG, o ato é contra o ""superfaturamento em tudo, desde a Copa, o viaduto e a corrupção""."
6,AE Noticiário,13 Julho 2014,Grupo protesta em Brasília após final da Copa,,Laís Alegretti,PORTUGUESE; PORTUGUÊS,,GERAL,Brasília,FASTNEWS,Boletim de notícias,219 palavras,"July 13, 2014",,,"Aos gritos de ""o povo acordou, o povo decidiu, ou para a roubalheira ou paramos o Brasil"", cerca de 50 manifestantes se reuniram na Praça dos Três Poderes, em Brasília. O encontro ocorreu após o fim do jogo final da Copa do Mundo, que consagrou a Alemanha a campeã do mundial. Durante o protesto, que foi pacífico, a polícia apenas formou um cordão humano para evitar que o pequeno grupo de manifestantes ocupasse a rua que fica atrás do Congresso Nacional e impedisse a passagem dos carros. Um policial militar afirmou ao Estado que a inteligência da PM acompanha nas redes sociais as intenções de protestos e que estaria preparada para o caso de o protesto ser maior e contar com cerca de 2 mil manifestantes. O encontro foi marcado por meio de um vídeo divulgado nas redes sociais. A servidora pública Cristia Lima, que afirma ter participado das manifestações que ocorreram em junho do ano passado, disse que o protesto no último dia da Copa do Mundo teve a função de reclamar da corrupção e dos gastos com o mundial. ""Precisamos fazer oposição ao sistema que está implantado no País. As pessoas precisam sair da comodidade"", disse, sem mencionar nome de políticos. Os participantes negaram que o protesto conte com a participação de partidos políticos e afirmaram que não há um líder no movimento. O alto-falante esta"
7,Agence France Presse -- Portuguese,"July 13, 2014",PM dispersa manifestantes com gás lacrimogêneo perto do Maracanã,,,PORTUGUESE; PORTUGUÊS,Brazil,,,,Boletim de noticías,459 palavras,"July 13, 2014",RIO DE JANEIRO 13 Jul 2014,SUBJECT:,"Policiais dispersaram com gás lacrimogêneo e bombas de efeito moral um grupo de cerca de 300 manifestantes que tentava se aproximar do Maracanã, antes do início da final da Copa do Mundo, neste domingo - constatou um jornalista da AFP. Os manifestantes protestavam contra o Mundial, as condições precárias da saúde pública e contra a repressão policial, um dia depois da detenção de 19 ativistas acusados de vandalismo em outros protestos. A polícia montada foi mobilizada para enfrentar os manifestantes, cercados por centenas de soldados da PM na Praça Saens Peña, na Tijuca (zona norte do Rio), a um quilômetro do Maracanã, onde a Argentina enfrenta a Alemanha. Muitos manifestantes deixaram o local e cerca de 100 permaneceram na praça, batendo palmas ironicamente e gritando palavras de ordem contra a polícia. Prevendo a manifestação no centro comercial do bairro, a Polícia Militar já havia montado um forte esquema de segurança, bloqueando os acessos de veículos à praça. Depois do início do ato, os policiais formaram uma barreira em torno dos manifestantes, chegando a usar spray de pimenta contra aqueles que tentassem romper o cordão de isolamento. Os manifestantes exibiam cartazes com frases como ""Libertem os presos"" e "" Protesto não é crime"", em referência aos ativistas detidos durante os protestos contra a Copa do Mundo. Outros indicavam ""Fuck FIFA"", ou ""Chame o Neymar e cuide da minha saúde"". ""Somos contra a Copa pela forma como está sendo realizada. Tornou-se um instrumento para centralizar a riqueza, de desigualdade social e também de repressão do Estado"", disse à AFP o manifestante Maurício Mileo, do movimento social Coletivo Marxista. ""O aparato policial é tão grande que qualquer ação fica quase impossível. Nós nos juntamos às organizações sociais para pedir que libertem aqueles que foram presos e respeitem o habeas corpus"", disse. No total, 26.000 policiais e soldados faziam parte do esquema de segurança montado neste domingo no Rio de Janeiro, na maior mobilização das forças de segurança da história do Brasil. A polícia deteve no sábado 19 ativistas, incluindo Elisa de Quadros Pinto Sanzi, conhecida como Sininho, de 28 anos. Considerada uma das líderes das manifestações, Sininho foi detida em Porto Alegre. Outros nove manifestantes ainda estão sendo procurados. Eles são considerados foragidos. De acordo com a polícia, os manifestantes estavam organizando ações violentas para este domingo. Contra os detidos, há um mandado de prisão preventiva de cinco dias. Eles podem ser condenados a até três anos de prisão por formação de quadrilha. Uma histórica onda de manifestações sacudiu o Brasil durante a Copa das Confederações do ano passado. Mas, depois do início da competição, os protestos perderam intensidade. pgf-lbc/tt/dm"
8,AE Noticiário,12 Julho 2014,Agência Brasil e EBC sofrem ataques cibernéticos,,Ayr Aliski,PORTUGUESE; PORTUGUÊS,,GERAL,Brasília,FASTNEWS,Boletim de notícias,470 palavras,"July 12, 2014",,,"As contas da Agência Brasil e da Empresa Brasileira de Comunicação (EBC) no microblog Twitter foram alvo de ataques cibernéticos na tarde deste sábado, antes do início do jogo entre Brasil e Holanda em Brasília. Foram mensagens como ""Vários ativistas estão sendo presos hoje (véspera da final da copa), prisões ilegais um grande atentado contra a democracia.""; ""Estamos prontos para iniciar ataques contra o governo e toda a imprensa corporativa., Não vamos mais tolerar a repressão... #ANONYMOUS""; ""Liberdade já para todos os presos políticos PROTESTAR É UM DIREITO!!! #ANONYMOUS @AnonManifest""; ""Queremos o direito de protestar sem ter que usar máscara, sem medo de ser perseguido. LIBERDADE JÁ PARA TODOS OS PRESOS POLÍTICOS!"". As mensagens ficaram por quase duas horas no ar. A EBC e a Agência Brasil são do governo federal. O  Broadcast tentou procurou a EBC nesta tarde para obter detalhes sobre a questão, mas não conseguiu contatos para comentar o caso. Alertado sobre o problema, o Palácio do Planalto disse que somente a EBC poderia se manifestar. Há poucos minutos, no entanto, a TV Brasil, que também é do governo federal, confirmou pelo Twitter que ""os perfis @tvbrasil e @ebcnarede no Twitter foram invadidos na tarde desse sábado"". A mensagem oficial informa que ""as contas da Empresa Brasil de Comunicação (@ebcnarede) e da TV Brasil (@tvbrasil) no Twitter foram invadidas hoje (12) por contas atribuídas ao coletivo hacker Anonymous Brasil. Foram postadas mensagens criticando a repressão aos protestos na Copa do Mundo e a prisão de 19 ativistas pela Polícia Civil do Rio de Janeiro. ""Liberdade já para todos os presos políticos. Protestar é um direito"", dizia uma delas. As mensagens ficaram no ar por mais de uma hora e foram apagadas."" Manifestações Hoje 19 pessoas que participaram de manifestações de rua no Rio de Janeiro foram presas sob a acusação de terem cometido atos de vandalismo. Entre os presos, está Elisa Quadros, conhecida como Sininho, ativista presa em Porto Alegre em uma ação das polícias fluminense e gaúcha. Ontem o ministro-chefe da Secretaria-Geral da Presidência da República, Gilberto Carvalho, disse que o governo federal está monitorando as convocações de protestos para amanhã em Brasília, Belo Horizonte, São Paulo e Rio de Janeiro e manterá esquema de reforço na segurança. A meta é evitar qualquer possibilidade de violência e destruição de patrimônio, tendo em mira os protestos que estão sendo marcados para o dia do encerramento da Copa. Gilberto Carvalho, inclusive, classificou ontem como ""um lixo"" o vídeo de convocação do grupo Anonymus para a manifestação e disse acreditar que o protesto será ""um redondo fracasso"". Uma das mensagens postadas na invasão de hoje às contas da EBC e Agência Brasil no Twitter citava, justamente, a assinatura ""#ANONYMOUS @AnonManifest""."
9,AE Conjuntura e Finanças,12 Julho 2014,Polícia prende 19 participantes de manifestações passadas no Rio sob acusação de vandalismo,,,PORTUGUESE; PORTUGUÊS,,COFI,,CONJUNTURA E FINANCAS,Boletim de notícias,228 palavras,"July 12, 2014",,,"São Paulo, 12/7/2014 - Na véspera da final da Copa no Maracanã, 19 pessoas que participaram de manifestações de rua no Rio foram presas hoje sob a acusação de terem cometido atos de vandalismo. O chefe da Polícia Civil, Fernando Veloso, e o responsável pela Delegacia de Repressão a Crimes de Informática, Alessandro Thiers, falarão à imprensa em entrevista coletiva daqui a pouco para dar mais informações sobre a ação. Entre os presos, está Elisa Quadros, conhecida como Sininho, ativista presa em Porto Alegre numa ação das polícias fluminense e gaúcha. As prisões foram com em cumprimento a mandados expedidos pela 27ª Vara Criminal. O grupo está na Cidade da Polícia, no Jacarezinho, espaço que abriga delegacias especializadas na sede da Copa. Com eles, segundo a polícia, foram apreendidos máscaras, explosivos e armas de fogo. Na véspera da abertura da Copa, dia 11 de junho, dez pessoas que são presenças constantes em protestos foram convocados a depor e tiveram celulares e computadores apreendidos; entre elas, Sininho. A polícia cumpriu, então, 17 mandados de busca e apreensão. A ação também foi da DRCI e foi considerada uma forma de intimidação dos manifestantes, por causa dos protestos antiCopa que haviam sido agendados. Para amanhã, estão marcados quatro protestos, um perto do Maracanã e três na Tijuca, bairro vizinhos ao do estádio.(Roberta Pennafort)"
10,AE Conjuntura e Finanças,13 Julho 2014,Aliados de Dilma adotam tom de alívio após protestos no RJ não repetirem ação de SP,,,PORTUGUESE; PORTUGUÊS,,COFI,,CONJUNTURA E FINANCAS,Boletim de notícias,354 palavras,"July 13, 2014",,,"Brasília, 13/07/2014 - Apesar de a presidente Dilma Rousseff ter sido vaiada no encerramento da Copa do Mundo, no Rio de Janeiro, o tom dos protestos não chegou nem de longe ao que se viu na abertura da competição em São Paulo, o que trouxe certo alívio ao Palácio do Planalto. A hostilidade no Maracanã ocorreu antes e durante a entrega da taça à seleção da Alemanha, vencedora do Mundial. Todas as vezes em que Dilma aparecia no telão, as vaias tomavam conta do estádio, mas auxiliares da presidente ressaltaram que a maneira como ocorreram os protestos neste domingo não se compara à virulência do que houve em 12 de junho. ""Não foi nada parecido com aquele dia"", observou, aliviado um ministro, ao lembrar que vaias em estádios são consideradas até normais e que já eram esperadas pelo governo. Nesta segunda-feira, no Planalto, o ministro-chefe da Casa Civil, Aloizio Mercadante, fará uma reunião com todos os demais ministros que participaram da organização da Copa do Mundo, para uma avaliação setor a setor. O balanço, será repassado à presidente Dilma Rousseff que estará, a maior parte do dia, envolvida com a visita do presidente da Rússia, Vladimir Putin. Dilma entregou a taça ao time da Alemanha ao lado da chanceler Ângela Merkel, de dirigentes da Fifa e do presidente da Confederação Brasileira de Futebol (CBF), José Maria Marin, alvo de fortes críticas em um dos sites da campanha petista, o ""Muda Mais"". O site está sob responsabilidade do ex-ministro da Comunicação do governo Lula, Franklin Martins, que hoje coordena as redes sociais no comitê da reeleição. Os ataques a Marin provocaram queda de braço na campanha porque Dilma e o marqueteiro João Santana consideraram que as críticas causaram ""constrangimento"" e ""mal estar"" num momento em que o governo trabalhava pelo sucesso da Copa, sem querer comprar briga com a CBF. Dilma pediu que Franklin retirasse o post do site ""Muda Mais"" ou que o assinasse, mas não foi atendida. Na quarta-feira, quando o texto foi publicado, o presidente do PT, Rui Falcão, teve uma conversa reservada com Franklin sobre o assunto, em Brasília. (Vera Rosa e Tânia Monteiro)"
11,AE Noticiário,10 Julho 2014,Planalto monitora convocação de protesto contra Copa,,,PORTUGUESE; PORTUGUÊS,,GERAL,Brasília,FASTNEWS,Boletim de notícias,326 palavras,"July 10, 2014",,,"O Palácio do Planalto monitora, com auxílio da Polícia Federal e da Agência Brasileira de Inteligência (ABin), uma convocação pela internet que convida a população a protestar contra a Copa do Mundo logo após o jogo da final da Copa do Mundo entre Argentina e Alemanha neste domingo no Maracanã. A PF identificou um vídeo em que há uma convocação para as 18h deste domingo em quatro cidades: São Paulo, Rio de Janeiro, Belo Horizonte e Brasília. Diante disso, a Abin está municiando os Centros de Coordenação de Defesa de Área criados para monitorar a segurança da Copa não só nessas quatro cidades, mas em todas as outras oito cidades-sede da Copa. Os serviços de inteligência das Forças Armadas e das Polícias dos Estados também estão alimentando o sistema. O objetivo do trabalho conjunto é de prevenção a esses protestos e que todas as forças de seguranças estejam prontas para atuar em todos os locais. A decisão do governo é que todas as forças convocadas para atuar na segurança durante a Copa se mantenham a postos mesmo depois do final do jogos em suas cidades. No Rio de Janeiro, a preocupação é ainda maior porque, além de ser o local da final da copa, ali estarão pelo menos dez presidentes, incluindo a presidente Dilma Rousseff, e os presidentes da Rússia, Vladimir Putin e os chefes de EStado e de Governo da Alemanha, que chegarão para a final da Copa. Na terça-feira, após a humilhante derrota do Brasil para a Alemanha, o ministro-chefe da Secretaria Geral, Gilberto Carvalho, afirmou que o governo já havia detectado um movimento de black blocs em várias cidades brasileiras, como Rio, São Paulo e Belo Horizonte, que queriam se aproveitar da decepção da população com o resultado, para retomar protestos violentos. Carvalho avisou que o governo estava ""atento"" e ""monitorando"" estas convocações e que ia continuar mapeando para evitar confusões e prejuízos em todo o País. Gilberto pediu ainda ""bom senso"" e ""cabeça fria"" aos manifestantes."
