city,publication,date,text
salvador,Folha,14-May,Manifestantes fizeram ato contra a Copa do Mundo na quinta-feira (15).
salvador,Folha,13-May,Operörios da constru o civil protestaram na tera-feira (13) por causa do atraso nos salörios. Eles trabalham na constru o de escolas t_cnicas e na amplia o de uma universidade.
sao_paulo,Folha,15-May,"Manifestantes sem-teto e contrörios _ Copa do Mundo protestaram na quinta-feira (15) nas marginais, na regi o do Itaquer o, na rodovia Anhanguera e na avenida Paulista, onde houve confronto com a polêcia. "
sao_paulo,Folha,15-May,"Em greve, cerca de 8.000 professores protestaram em frente _ Secretaria Municipal de Educa o e depois aderiram ao ato contra a Copa na avenida Paulista."
sao_paulo,Folha,15-May,"Na madrugada, metroviörios em campanha salarial fizeram passeata na regi o central. "
rio,Folha,15-May,Professores em greve e estudantes protestaram na quinta-feira (15) ao lado de militantes contrörios _ Copa do Mundo.
rio,Folha,15-May,Manifestantes organizaram ato na zona norte em defesa de mais moradias populares. 
rio,Folha,14-May,Moradores do Complexo de Manguinhos protestaram na quarta-feira (14) apãs a morte de um jovem. Eles atacaram uma Unidade de Polêcia Pacificadora. 
rio,Folha,14-May,Militantes do MST se manifestaram para lembrar o massacre de Eldorado dos Carajös.
rio,Folha,14-May,Vigilantes em greve protestaram na avenida Atl_ntica.
recife,Folha,15-May,"Em greve, policiais militares e bombeiros protestaram durante a semana."
recife,Folha,15-May,Agentes penitenciörios tamb_m protestaram.
porto_alegre,Folha,16-May,Moradores do bairro Cristal bloquearam uma rua em protesto contra o atropelamento de uma pessoa nesta sexta-feira (16).
porto_alegre,Folha,15-May,"Estudantes, servidores municipais, funcionörios de institutos e universidades p“blicas e funcionörios da örea da sa“de protestaram na quinta-feira (15). Uniram reivindica_es especêficas ao protesto contra a Copa do Mundo. "
porto_alegre,Folha,15-May,Motoristas de caminh_es que transportam caambas fizeram carreata para pedir uma örea de descarte.
fortaleza,Folha,16-May,Trabalhadores da constru o civil - campanha salarial  (16). 
fortaleza,Folha,15-May, Ato de estudantes a favor do passe livre terminou em confronto com a polêcia na quinta-feira (15). 
fortaleza,Folha,15-May,"Em greve desde o dia 23 de abril, garis protestaram antes de audincia no Minist_rio P“blico do Trabalho. "
fortaleza,Folha,15-May,Servidores municipais se manifestaram contra a possibilidade de perder direitos trabalhistas.
curitiba,Folha,16-May,"Manifestantes protestaram contra a Copa na quinta-feira (15), a exemplo do que aconteceu em outras capitais."
campinas,Folha,12-May,Cerca de 60 estudantes participaram de passeata na segunda- feira (12) em protesto contra a morte de um adolescente atropelado na Vila Lemos.
brasilia,Folha,15-May,Manifestantes contra a Copa protestaram na quinta-feira (15) na rodoviöria.
brasilia,Folha,15-May,"Mais cedo, um grupo de sem-teto tamb_m protestou contra a Copa e invadiu a sede de uma empresa. Houve confronto com a polêcia."
brasilia,Folha,14-May,"Na quarta-feira (14), farmacuticos participaram de uma passeata para defender projeto que transforma farmöcias e drogarias em estabelecimentos de sa“de."
brasilia,Folha,14-May,Funcionörios terceirizados da örea de limpeza do Palöcio do Planalto reclamaram de salörios atrasados.
belo_horizonte,Folha,16-May,Servidores municipais organizaram uma manifesta o nesta sexta-feira (16) em frente _ prefeitura. 
belo_horizonte,Folha,15-May,Manifestantes protestaram na quinta-feira (15) contra a Copa do Mundo. 
belo_horizonte,Folha,14-May,"Servidores estaduais da sa“de protestaram na quarta-feira (14) em frente a um hospital. Pedem aumento de 20%, plano de carreira e melhores condi_es de trabalho. "
salvador,Folha,15-Apr,Buraco provocou protesto de moradores no bairro Capelinha de S o Caetano na tera-feira (15).
sao_paulo,Folha,16-Apr,O quarto ato anti-Copa reuniu por volta de 1.500 manifestantes na avenida Paulista tera-feira (15). 
sao_paulo,Folha,15-Apr,"Em greve, funcionörios da Funda o Casa protestaram na regi o central na segunda-feira (14)."
rio,Folha,16-Apr,Servidores do IBGE protestaram na quarta-feira (16). O motivo: interferncia polêtica no ãrg o.
rio,Folha,16-Apr,Ex-ocupantes de pr_dio da Oi protestaram no inêcio da semana. 
rio,Folha,16-Apr,"Na Petrobras, ocorreram atos contra e a favor da CPI. "
rio,Folha,16-Apr,Funcionörios da UFRJ protestaram
rio,Folha,17-Apr,operörios do Parque Olêmpico protestaram
rio,Folha,18-Apr,Rio teve ato anti-Copa.
recife,Folha,15-Apr,"Estudantes protestaram no centro, na tera-feira (15), para pedir mais segurana na regi o de uma escola."
recife,Folha,15-Apr,Militantes do MST fizeram caminhada de protesto para lembrar a morte de trabalhadores rurais em Eldorado de Carajös (PA).
porto_alegre,Folha,16-Apr,O Bloco de Luta pelo Transporte P“blico protestou na quarta-feira (16) contra aumento na tarifa.
porto_alegre,Folha,16-Apr,"Em campanha salarial, servidores municipais participaram de manifesta o."
porto_alegre,Folha,15-Apr,Marcha reuniu 700 metal“rgicos na tera-feira (15).
curitiba,Folha,16-Apr,Por volta de cem moradores ocuparam na quarta-feira (16) a BR-476 para protestar contra os desligamentos de energia el_trica. A rodovia foi bloqueada. 
curitiba,Folha,16-Apr,Estudantes participaram de manifesta o em frente ao Col_gio Estadual do Paranö para apoiar greve dos professores.
brasilia,Folha,17-Apr,"Na quinta-feira (17), funcionörios de uma empresa de Ènibus fecharam os acessos _ rodoviöria do Plano Piloto num protesto contra as condi_es de trabalho"
brasilia,Folha,17-Apr,O MST fechou duas rodovias para relembrar os 18 anos do Massacre de Eldorado dos Carajös (PA).
salvador,Folha,18-Jul,Rodoviörios bloquearam a esta o Pirajö na sexta-feira (18) por causa da violncia. Um cobrador foi baleado. 
