Q#,city,publication,date,descriptions
1,belo_horizonte,Folha,22-Jun,Protesto anti-Copa marcado pelas redes sociais reuniu dezenas de pessoas na praça da Estaç o no domingo (22). 
,,,,
2,belo_horizonte,Folha,10-Jul-14,Representantes de movimentos sociais e invas_es participaram de uma marcha na quinta-feira (10) at_ a prefeitura. Pediram investimentos em moradias populares.
,,,,
3,belo_horizonte,Folha,17-Jun-14,"Protesto anti-Copa na terça-feira (17) teve futebol improvisado, mÒsica e apresentaçÊo teatral."
,,,,
4,brasilia,Agence France Presse -- Portuguese,2-Jul,"A polê_cia de Hong Kong desalojou nesta quarta-feira centenas de manifestantes que se negavam a abandonar o bairro financeiro do territê_rio, apê_s uma manifestaê_ê£o a favor da democracia que reuniu mais de 800 mil pessoas. As forê_as policiais entraram em aê_ê£o ê_s 03H00 local (21H00 Brasê_lia) no Central - bairro de Hong Kong que abriga numerosos bancos e shoppings - para retirar manifestantes que haviam decidido permanecer no local. Muitos manifestantes partiram voluntariamente, mas outros se deitaram no chê£o e foram arrastados atê© os êänibus preparados para retirêç-los do local. Os que resistiram foram ""detidos por obstruê_ê£o e ameaê_a ê_ seguranê_a dos pedestres"", informou um oficial da polê_cia. Na terê_a-feira, mais de 800 mil pessoas participaram de um protesto pela democracia em Hong Kong, que, segundo os organizadores, foi o maior desde a restituiê_ê£o desta ex-colêänia britê¢nica ê_ China, em 1997. O Parque Victoria de Hong Kong, ponto de saê_da da passeata que terminou no distrito comercial cercado de arranha-cê©us, se transformou em um mar de guarda-chuvas e cartazes que exibiam slogans como ""queremos uma verdadeira democracia"" e ""resistimos unidos contra a China"". A mobilizaê_ê£o ocorreu pouco depois de um referendo oficioso sobre a instauraê_ê£o do sufrêçgio universal direto, do qual participaram quase 800.000 eleitores, quando os organizadores destas eleiê_êµes esperavam apenas 300.000. Este territê_rio do sul da China conta com 7,2 milhêµes habitantes. No referendo nê£o-oficial, que durou dez dias e terminou no domingo, os eleitores deviam optar entre trê_s diferentes mê©todos para escolher o prê_ximo lê_der de Hong Kong em 2017. Todas as alternativas incluê_am alguma influê_ncia da populaê_ê£o na escolha dos candidatos. Na segunda-feira, Pequim condenou o voto e acusou seus organizadores de violar a lei. A China prometeu que os habitantes de Hong Kong poderê£o escolher o executivo local em 2017, embora tenha deixado claro que vai manter o controle sobre as candidaturas, uma condiê_ê£o que ativistas prê_-democracia consideram inaceitêçvel. A antiga colêänia britê¢nica foi devolvida a Pequim no dia 1Ô_ de julho de 1997. Desde entê£o tem o status de regiê£o administrativa especial e goza, a princê_pio, de uma ampla autonomia em virtude do modelo ""um paê_s, dois sistemas"". Isso dêç aos cidadê£os liberdades que nê£o existem no continente, incluindo a liberdade de expressê£o e o direito de manifestaê_ê£o. No entanto, nos ê_ltimos anos, tem aumentado o medo de perder essas liberdades. dca-at-ac/mr/dm/lr"
,,,,
5,brasilia,AE Noticiêçrio,4-Jun,"Os atrasos nas obras para a Copa do Mundo foram minimizados ontem ê_ noite pela presidente Dilma Rousseff que afirmou que a demora na construê_ê£o de projetos de mobilidade urbana sê£o como um ""custo da democracia"" brasileira. Segundo a BBC, as afirmaê_êµes foram feitas em um jantar da presidente com correspondentes internacionais no Palêçcio da Alvorada. A pêçgina da emissora britê¢nica na internet publicou nesta manhê£ reportagem sobre o jantar realizado em Brasê_lia. Segundo a BBC, Dilma minimizou a preocupaê_ê£o sobre a conclusê£o das obras para o mundial que comeê_a na prê_xima semana. ""Em todo o mundo, esses grandes projetos de engenharia sempre ficam por um fio"", disse Dilma. A reportagem diz que a presidente comentou que ninguê©m faz grandes projetos como um metrêä em pouco tempo. ""Ninguê©m faz um (metrêä) em dois anos. Bem, talvez a China"", disse aos correspondentes internacionais. A presidente classificou os atrasos como ""o custo de nossa democracia"", segundo o BBC. Sobre os protestos populares contra o mundial, a presidente disse aos jornalistas que as manifestaê_êµes fazem parte da democracia, mas milhares de policiais e soldados estarê£o na rua para permitir a realizaê_ê£o do evento. ""Nê_s garantiremos plenamente a seguranê_a das pessoas"", disse Dilma. Envolvente e persuasiva>/b> Um dos presentes, o correspondente da BBC no Rio de Janeiro, Wyre Davies, elogiou a presidente. Em um texto publicado nesta manhê£ no blog do jornalista, Davies diz que a ""informalidade (de Dilma) com pessoas que se reê_nem pela primeira vez ê© envolvente"". ""Sua compreensê£o de questêµes de polê_tica detalhadas - especialmente macroeconomia - ê© impressionante e persuasiva"", disse. No blog, o correspondente diz que Dilma defendeu no jantar que ""nê£o vai correr o risco de aumento do desemprego ou recessê£o"". Em uma longa afirmaê_ê£o sobre a economia, diz o jornalista, a presidente encerrou com a reafirmaê_ê£o de que a redistribuiê_ê£o de renda continuarêç a ser feita pelo governo. ""A redistribuiê_ê£o de renda e de recursos ê© uma parte importante da nossa polê_tica e defendemos o direito de continuar fazendo isso"", disse, segundo o blog. ""Para mim, foi igualmente valioso passar algumas horas na companhia de, sem dê_vida, um dos lê_deres mais poderosos, mas menos compreendido do mundo"", diz o jornalista."
,,,,
6,brasilia,Folha,4-Jun-14,Agricultores e sem-terra fizeram manifestaçÊo em frente ao Minist_rio do Planejamento na quarta-feira (4). Pediram desapropriaçÊo de fazendas improdutivas e liberaçÊo de cr_dito.
,,,,
7,brasilia,Folha,23-May-14,Moradores da Vila Planalto protestaram em frente do Tribunal de Justiça contra decisÊo que considera ilegal a regularizaçÊo de lotes. 
,,,,
8,brasilia,Folha,15-May-14,Manifestantes contra a Copa protestaram na quinta-feira (15) na rodovi_ria.
,,,,
9,brasilia,Folha,17-Apr-14,"Na quinta-feira (17), funcion_rios de uma empresa de énibus fecharam os acessos _ rodovi_ria do Plano Piloto num protesto contra as condiç_es de trabalho"
,,,,
10,campinas,Folha,16-Jun-14,"Em greve, funcion_rios da Unicamp fecharam três entradas da universidade na segunda-feira (16) em protesto contra o reajuste zero."
,,,,
11,curitiba,AE Noticiêçrio,23-Apr,"Funcionêçrios do Instituto Brasileiro de Geografia e Estatê_stica (IBGE) se reê_nem amanhê£ em assembleias pelo Paê_s para discutir uma possê_vel greve de servidores, o que poderia prejudicar o andamento de pesquisas e agravar ainda mais a crise institucional que o instituto atravessa. O movimento ê© comandado pelo Sindicato Nacional dos Trabalhadores em Fundaê_êµes Pê_blicas Federais de Geografia e Estatê_sticas (ASSIBGE), que contesta a suspensê£o das prê_ximas divulgaê_êµes da Pesquisa Nacional por Amostra de Domicê_lios Contê_nua (Pnad Contê_nua). Segundo a direê_ê£o do sindicato, os servidores defendem a autonomia tê©cnica do ê_rgê£o e mais democracia nas decisêµes internas. Tambê©m integram a pauta de discussêµes de amanhê£ as reivindicaê_êµes dos servidores por melhores salêçrios, realizaê_ê£o de concursos pê_blicos e o fim da substituiê_ê£o do quadro permanente por trabalhadores terceirizados e mal remunerados. ""Haverêç assembleias em distintas partes do Paê_s"", afirmou Ana Magni, uma das diretoras da ASSIBGE. No Rio, a reuniê£o estêç marcada para 13h, na filial da Avenida Chile, no Centro da cidade. Em nota, o sindicato afirma que as assembleias ""devem apontar para uma paralisaê_ê£o ou mesmo a possibilidade de a categoria entrar em greve"". Em 2012, uma greve de servidores do IBGE prejudicou por alguns meses a divulgaê_ê£o da taxa de desemprego para as seis principais regiêµes metropolitanas do Paê_s, apurada pela Pesquisa Mensal de Emprego (PME). A apuraê_ê£o dos dados de Salvador e Rio de Janeiro nê£o foi realizada a tempo de cumprir o calendêçrio de divulgaê_ê£o da pesquisa, por conta da paralisaê_ê£o dos trabalhos dos funcionêçrios. A atual crise institucional comeê_ou no ê_ltimo dia 10 de abril, apê_s a presidente do IBGE, Wasmêçlia Bivar, anunciar a suspensê£o da divulgaê_ê£o da Pnad Contê_nua atê© 6 de janeiro, para que os tê©cnicos pudessem revisar e adequar as informaê_êµes sobre a renda domiciliar per capita ê_s exigê_ncias previstas na Lei Complementar nÔ_ 143/2013. A lei determina que o indicador sirva como base para o cêçlculo do rateio do Fundo de Participaê_êµes dos Estados (FPE). A medida foi motivada por questionamentos feitos no inê_cio de abril pelos senadores Gleisi Hoffmann (PT-PR) - ex-ministra da Casa Civil - e Armando Monteiro (PTB-PE), o que gerou suspeita de ingerê_ncia do governo no ê_rgê£o. No ê_ltimo dia 16, funcionêçrios do IBGE jêç fizeram uma paralisaê_ê£o nacional para protestar contra a suspensê£o da Pnad Contê_nua e ingerê_ncias externas no ê_rgê£o. No Rio, um protesto teve a adesê£o de cerca de 350 funcionêçrios. O Sindicato disse que houve interrupê_ê£o dos trabalhos tambê©m nas filiais de Manaus, Maceiê_, Recife, Sê£o Paulo, Vitê_ria, Belo Horizonte, Curitiba, Mato Grosso do Sul, Florianê_polis e Porto Alegre. A direê_ê£o do ê_rgê£o admitiu reavaliar a decisê£o de adiar a divulgaê_ê£o da Pnad Contê_nua com base no parecer de um corpo tê©cnico. O adiamento da prê_xima divulgaê_ê£o, prevista para 3 de junho, fez duas de oito integrantes do Conselho Diretor do instituto pedirem exoneraê_ê£o: a diretora de Pesquisas, Marcia Quintslr, e a coordenadora-geral da Escola Nacional de Ciê_ncias Estatê_sticas (Ence), Denise Britz do Nascimento Silva. Dezoito coordenadores ameaê_aram tambê©m entregar seus cargos, e 45 tê©cnicos divulgaram uma carta de repê_dio ê_ medida. A rebeliê£o foi contornada com a promessa da direê_ê£o de ouvir os tê©cnicos da casa antes de determinar se a pesquisa estêç realmente suspensa atê© janeiro. Segundo o coordenador de Trabalho e Rendimento do instituto, Cimar Azeredo, responsêçvel pela Pnad Contê_nua, os tê©cnicos correm contra o tempo para concluir um parecer ê_ direê_ê£o que mostre a viabilidade de manter o calendêçrio de divulgaê_ê£o sem prejudicar os trabalhos de aperfeiê_oamento da apuraê_ê£o da renda domiciliar per capita. ""Jêç foi ventilado por esses grupos que estê£o trabalhando, e principalmente pela equipe que desenvolve o trabalho de apuraê_ê£o da Pnad Contê_nua, que o processo de apuraê_ê£o e divulgaê_ê£o da pesquisa nê£o vai atrapalhar nesse processo de estudo para poder atender ao FPE"", assegurou Azeredo na semana passada. Duas associaê_êµes de pesquisa e estatê_stica divulgaram nota manifestando preocupaê_ê£o com a suspensê£o da Pnad Contê_nua atê© 2015. Segundo a Associaê_ê£o Brasileira de Empresas de Pesquisa (ABEP), o projeto faz parte do plano estratê©gico do IBGE e seus dados contribuem para o trabalho desenvolvido pelos institutos de pesquisa e outras organizaê_êµes pê_blicas e privadas. ""Diante dessa nova realidade, a interrupê_ê£o da divulgaê_ê£o das informaê_êµes contê_nuas provoca apreensê£o no mercado de pesquisa. No entanto, a ABEP apoia o IBGE e espera que a entidade encontre uma soluê_ê£o que atenda ê_s necessidades de informaê_êµes esperadas pelos atuais usuêçrios, bem como as novas e importantes demandas surgidas recentemente"", declarou a entidade, em nota. Jêç a Associaê_ê£o Brasileira de Estatê_stica (ABE) foi mais dura em carta aberta divulgada na semana passada, em que manifesta ""sua reprovaê_ê£o a qualquer ingerê_ncia externa em questêµes eminentemente tê©cnicas e de metodologias desenvolvidas"" pelo instituto. ""A autonomia e independê_ncia de institutos de estatê_stica como o IBGE sê£o condiê_êµes essenciais para sua credibilidade, e esta por sua vez, ê© essencial para que cumpram plenamente sua funê_ê£o de retratar com fidelidade a realidade do paê_s"", ressaltou a ABE."
,,,,
12,curitiba,Folha,16-May-14,"Manifestantes protestaram contra a Copa na quinta-feira (15), a exemplo do que aconteceu em outras capitais."
,,,,
13,fortaleza,AE Noticiêçrio,15-Jun,"Um total de 30 pessoas jêç foram presas e cinco adolescentes, apreendidos, por delitos registrados nas manifestaê_êµes contra a Copa do Mundo ocorridas em Belo Horizonte no sêçbado (14) e na quinta-feira (12). Entre os presos, pelo menos trê_s foram autuados em flagrante e estê£o detidos em unidades carcerêçrias da capital e uma estudante universitêçria teve a prisê£o preventiva decretada no Departamento de Trê¢nsito de Minas Gerais (Detran-MG) por participaê_ê£o ocorrida no primeiro protesto. Novo ato estêç marcado para terê_a-feira (17), quando o Brasil enfrentarêç o Mê©xico em Fortaleza (CE). Apesar de o ato ocorrido no sêçbado nê£o ter terminado em confronto por causa do forte aparato policial montado no centro da cidade, no ponto de concentraê_ê£o dos manifestantes, 12 pessoas foram presas e trê_s menores, apreendidos. Segundo a Polê_cia Civil, Igor Daniel de Aguiar Borges, de 29 anos, foi encontrado com um coquetel molotov e uma mêçscara de gêçs, e Fernando Senhorinha Rinaldi, de 18 anos, foi flagrado com uma machadinha e uma chave usada para furtar veê_culos. Alê©m deles, Karine Kê_nia Soares da Silva Melo, de 20, tambê©m foi presa acusada de ser ""cê_mplice"" de Rinaldi, que ainda deve responder a processo por incitaê_ê£o ê_ violê_ncia. Outro inquê©rito resultou na decretaê_ê£o pela Justiê_a da prisê£o da universitêçria Patrê_cia Dantas Dias, de 25, acusada de ter ajudado a virar e incendiar uma viatura da Polê_cia Civil em frente ao Detran. Ainda de acordo com a polê_cia, o engenheiro Leandro Rios de Faria, de 28, a enfermeira Kêçtia Santos Dias e o mê©dico Bruno de Almeida, ambos de 27, tambê©m foram presos acusados de participar do ato. Os outros presos nas manifestaê_êµes foram encaminhados ao Juizado Especial Criminal e os menores, ao Juizado da Infê¢ncia e da Juventude. Os casos sê£o acompanhados pelo Ministê©rio Pê_blico Estadual (MPE) e pela seê_ê£o mineira do Ordem dos Advogados do Brasil (OAB-MG)."
,,,,
14,fortaleza,Folha,28-Apr-14,Oper_rios da construçÊo civil protestaram num terminal de énibus na segunda-feira (28/04).
,,,,
